#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,,,1,,INC,,(8)
A-2,A,2,2,1,1,-1,,,,,3
A-3,A,3,,2,-3,(1),(8),3,,,2
A-4,A,4,,,,-1,2,INC,INC,,
A-5,A,5,,,-1,,,,INT 15,INC,
B-1,B,1,,,,,,-2,(15),7,
B-2,B,2,,,(-1),,2,,,4,
B-3,B,3,(-1),(-1),,(1),(13),-1,,,(2)
B-4,B,4,-2,-2,,-1,,,,(50),
B-5,B,5,-2,,-1,,,INC,(16),(40),(17)
C-1,C,1,,-1,,-1,,-3,,6,1
C-2,C,2,,,(-1),,,-1,,,
C-3,C,3,,,(1),,,,(19),,2
C-4,C,4,-1,,,-1,,INC,(16),,
C-5,C,5,-1,-2,-1,-1,(6),,,,
D-1,D,1,1,5,2,,,-3,,-3,
D-2,D,2,,4,2,-1,,,,-2,
D-3,D,3,,,2,(1),(8),,(16),INC,1
D-4,D,4,,2,,-1,,INC,INT18,,INC
D-5,D,5,1,1,2,,,QT,QT,INT30,
E-1,E,1,2,3,4,,(7),,,INC,
E-2,E,2,1,2,3,,2,4,,-5,-1
E-3,E,3,,2,2,,,,,-4,INC
E-4,E,4,1,,2,-1,2,(7),INC,QT,-3
E-5,E,5,,1,2,-1,,QT,QT,INT25,
F-1,F,1,3,2,,,,,,,
F-2,F,2,2,,,,10,9,6,,3
F-3,F,3,(-2),(-2),,(-5),(20),,QT,QT,
F-4,F,4,(20),(20),(-4),(18),,QT,,(41),QT
F-5,F,5,,2,(18),,,(20),(50),(TD),(40)
