#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 15,DEF 15,DEF 15,3,OFF 5,F +7,F +16,DEF 5,2,24,15,R
11,DEF 15,OFF 5,OFF 15,DEF 5,3,DEF 5,DEF 5,OFF 5,DEF 5,27,3,R
12,OFF 5,B,DEF 5,OFF 15,11,DEF 15,PI 19,QT,4*,21,4,R
13,8,-2,OFF 5,F +4,-6*,OFF 15,13,PI 27,3,35,-10*,R
14,2,5,-6*,DEF 15,9,PI 6,17,TD,F +6,25,17,R
15,4,6,8,8,9,QT,30,30*,OFF 15,29,4*,R
16,DEF 5,4,-5,3,30,20,18*,25,DEF 15,28,-9,R
17,9,OFF 15,F +6,2,8*,OFF 5,20,F +26,QT,23,-8,R
18,-6,10,15,3,DEF 15,25,25,50,5*,31,-7,R
19,B,3,2,3,2,50,10*,40,4*,34,-4,R
20,4,14,4,3,8,6,INT 10,25,5*,32,-12,R
21,2,F -1,14*,2,9,-2,DEF 15,20,OFF 5,26,3,R
22,F +1,DEF 5,,B,OFF 15,INC,OFF 15,OFF 15,PI 8,24,-8,R
23,4,-1,,5,6*,INC,INT 17,QT,INC,20,-2,R
24,5,,,OFF 5,2,4,OFF 5,INC,INC,21,-6,R
25,2,,-2*,-1,11,7,INC,INC,INC,23,F -7,R
26,-1,1,4,5,QT,1,INC,DEF 15,6*,37,-7,R
27,11*,7,-3,8,3,3,14,25*,OFF 5,30,-2,R
28,12,9,7*,B,30,16,18,30,3*,34,-1,R
29,15*,18*,18*,3,DEF 5,8,TD,25,4*,27,19,R
30,2,11*,11,3,9,10,15,20,5*,39,-1,R
31,,3,6*,-3,12,11,16,INT 32,1*,22,-2,R
32,,4,-1,-2,2,9,QT,QT,10,21,-8,R
33,3,2,2,2,6,5,20,INT 25,QT,22,-5,L
34,1,5,1,,F +6,INC,INC,INC,INC,20,-10,L
35,3,2,5,,INC,INC,INC,INC,INC,24,-9,L
36,6,1,3,1,-5,INC,INC,INC,INC,23,-7,L
37,1,3,-4*,13*,12,12*,11,40,7*,22,-4,L
38,7,8,10,B,,2,19*,50,2,28,-11,L
39,10,2,B,3,,INT 6,15*,20,4,26,-2,L
