#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,38,TD,DEF 15,2,15,BK -16,-4
11,70,17,BK -11,19,DEF 15,OFF 15,1
12,65,1,DEF 5,40,2,DEF 15,1
13,60,35,24,-2,30,OFF 5,1
14,40,45,42*,4,23,DEF 5,1
15,31,14,37*,13,TD,42,1
16,69,60,54,5,F +8,40,1
17,44,DEF 15,OFF 15,25,10,39,1
18,53,25,31*,7,21,14,1
19,64,20,28,14,8,DEF 15,1
20,58,12,62*,6,12,24,0
21,45,25,44,10,35,4,1
22,67,55,35,DEF 15,10,27,1
23,52,25,45+,8,2,NG,1
24,62,19,54*,30,OFF 15,10,1
25,57,21,32*,F +8,1,34,1
26,54,20,50,F +10,2,22,1
27,46,25,41,15,15,40,1
28,64,4,48*,11,35,3,1
29,50,25,35*,4,24,36,1
30,37,55,43*,7,30,41,1
31,25,OFF 15,41*,,1,17,1
32,59,24,34*,,,33,1
33,OB,,38,OFF 15,,31,1
34,61,16,39*,-4,,26,1
35,63,23,46,1,,21,1
36,56,30,24*,5,,37,1
37,49,F +36,49*,9,8,9,1
38,55,20,50*,8,12,11,1
39,42,14,OFF 5,23,15,1,1
