#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,-1,-1,2,,,,-4,(10)
A-2,A,2,,,,,,,,,
A-3,A,3,1,(1),,,,(3),,,4
A-4,A,4,,,-1,,(1),,INC,INT28,2
A-5,A,5,,,-1,1,(2),,QT,INC,
B-1,B,1,,-1,3,,,,(19),,
B-2,B,2,,,2,,,,,,
B-3,B,3,(-1),(-1),1,1,,,(17),(34),
B-4,B,4,-2,-2,1,,(13),(2),,(50),(12)
B-5,B,5,-2,1,,,(15),(4),,INT 32,(27)
C-1,C,1,-1,,-1,3,-2,,,,
C-2,C,2,,,-1,2,-2,,,,
C-3,C,3,,(-1),,1,-1,,(20),,
C-4,C,4,,-2,-1,,,(1),,38,(12)
C-5,C,5,-1,-2,-1,1,,,(18),INT 35,(9)
D-1,D,1,2,,2,3,,3,-4,,
D-2,D,2,2,,1,2,,3,,,-1
D-3,D,3,1,,,1,-2,INC,,,
D-4,D,4,,-2,2,,(2),,INC,INT 30,-5
D-5,D,5,2,,2,1,(1),,QT,(35),QT
E-1,E,1,3,2,4,5,,7,,INC,-2
E-2,E,2,3,,3,4,,6,,-5,-3
E-3,E,3,,1,3,,(4),6,,-4,
E-4,E,4,1,1,,,,,,QT,INC
E-5,E,5,,,,,(8),,,INT 30,
F-1,F,1,1,,3,6,7,11,2,8,
F-2,F,2,1,,,,,,6,,1
F-3,F,3,(-2),(-2),,(-5),,4,QT,QT,(15)
F-4,F,4,(20),(10),(-4),(20),(25),QT,,(40),QT
F-5,F,5,,-2,(20),2,(50),(20),(50),(50),
