#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,,,,(8),,-3,(16)
A-2,A,2,,,,,(-1),,,,
A-3,A,3,,1,-1,,(1),,,,
A-4,A,4,,,,,INC,,(21),INT 24,
A-5,A,5,2,1,,,INC,,QT,INC,
B-1,B,1,,,2,,,-3,(19),,(16)
B-2,B,2,,,1,,(4),,,,
B-3,B,3,2,,1,,(-2),-2,(17),,
B-4,B,4,,2,,2,INC,,,(50),(27)
B-5,B,5,,1,,1,INC,INC,,,(37)
C-1,C,1,1,,-1,2,(-1),-3,,,(15)
C-2,C,2,1,1,-1,,-6,-2,,,
C-3,C,3,,2,,1,-3,,(20),,3
C-4,C,4,,,-1,2,INC,INC,,QT,(20)
C-5,C,5,,,-1,1,INC,,(18),INC,
D-1,D,1,2,4,,,-2,,-4,-3,4
D-2,D,2,1,2,,,(1),,,-2,(15)
D-3,D,3,1,2,(-1),(-1),(-3),-1,,INC,
D-4,D,4,,,-1,-3,INC,QT,,,
D-5,D,5,1,1,,-1,INC,INC,INC,INT28,
E-1,E,1,4,4,,,-5,,,-7,
E-2,E,2,4,3,,,-7,,-4,-6,1
E-3,E,3,3,2,-2,-1,-4,(6),,INC,(16)
E-4,E,4,2,2,,-1,,(7),INC,QT,1
E-5,E,5,2,1,,-1,,QT,INC,INC,
F-1,F,1,4,,3,2,3,(14),,,(21)
F-2,F,2,2,2,,,1,,,,
F-3,F,3,(-2),(-2),,(-5),,,QT,QT,
F-4,F,4,(20),(19),(-4),(20),,QT,(28),(40),QT
F-5,F,5,4,,(20),4,INC,(20),(50),(50),(31)
