#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 15,18,B,DEF 15,DEF 15,2,40,PI 31,DEF 5,44,13,R
11,DEF 5,5,-5,F +3,OFF 15,OFF 5,DEF 5,OFF 5,9*,40,16,R
12,4,OFF 15,-2*,2,F +3,OFF 15,INT 11,QT,4*,24,5,R
13,5,-2,-6,11,QT,3,QT,OFF 15,10*,45,12*,R
14,8,2,6,3,-1,7*,17*,20,4,20,9*,R
15,2,-6,14,5,1,10,25,25,12*,24,-12,R
16,4,DEF 5,DEF 5,OFF 15,-1,DEF 15,30*,QT,DEF 15,45,-11*,R
17,DEF 15,11,-4,12*,OFF 5,DEF 5,F +15,DEF 15,OFF 15,40,18,R
18,OFF 5,DEF 15,DEF 15,DEF 5,DEF 5,PI 8,10,DEF 5,OFF 5,45,14*,R
19,B,16*,17,,INC,40,15,INT 30,PI 7,TD,11,R
20,5,OFF 5,F +7,7,-1*,-4,DEF 15,QT,12*,45,-1,R
21,F +1,,,13,5,10*,OFF 5,QT,3*,24,6,R
22,1,,OFF 15,2,1,,OFF 15,OFF 5,9,45,-9,R
23,2,8,7*,3,QT,QT,20*,30,11*,40,F -10,R
24,4,3,8,OFF 5,QT,9,INC,QT,INC,42,,R
25,7,9,2,-1,QT,6,INC,INC,QT,43,1,L
26,-1,4,OFF 5,3,1,11,QT,25*,11*,40,-7,L
27,2,-1,-2,7,-1,2,14,INC,8*,22,-3,L
28,15*,13*,18,11,4,1*,15,INT 25,9,26,F -13,L
29,-3,F -1,-3*,7,QT,25,16,F +27,F +4,45,-1,L
30,2,1,15*,5,INC,INT 5,18,QT,5*,22,-2,L
31,,3,-1,12,5,16,16,INC,QT,41,-7,L
32,,1,11*,1,INC,INC,QT,INC,INC,21,-6,L
33,3,6,1,9,INC,4,11,INC,INC,44,-10,L
34,1,5,3,,INC,INC,INC,INC,INC,20,-8,L
35,3,2,4,,INC,INC,INC,INC,INC,22,-13,L
36,5,3,9,8,INC,INC,INC,INC,INC,23,-9,L
37,6,4,5*,9,1,8,13,INC,QT,41,F -4,L
38,2,-1,,14,4,7,19,25,4*,24,-4,L
39,11*,10,2*,11*,5*,F +2,PI 14,INC,9*,45,F +9,L
