#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,-6,15,DEF 15,DEF 15,DEF 5,30,OFF 5,DEF 15,TD,1,R
11,6,3,-4,OFF 5,OFF 15,OFF 5,DEF 5,40,OFF 15,50,17,R
12,OFF 15,6,OFF 5,F +1,F +3,PI 8,QT,PI 21,2*,55,-10,R
13,-2,OFF 15,11*,6,10*,QT,DEF 15,20,-1*,31,-8,R
14,5,F +2,F +2,8,2,5,OFF 15,QT,PI 3,39,5,R
15,DEF 5,DEF 5,OFF 15,,8,9*,OFF 5,QT,4,30,8,R
16,13*,-1,DEF 5,13*,QT,F +8,QT,DEF 15,3*,33,1,R
17,7,DEF 15,10*,OFF 15,OFF 5,DEF 15,PI 19,25,OFF 5,51,10,R
18,B,-4,-6,DEF 5,DEF 5,1,F +13,F +30,F +2,34,-10,R
19,15,1,-10,8,QT,12,TD,25*,8*,22,-9*,R
20,8*,,2,,10*,-5,15,QT,2*,38,-12,R
21,3,,-1*,,25,3,14,30,5*,37,-6,R
22,F +1,-1,B,,2,8,17,OFF 15,1*,60,4,R
23,4,OFF 5,1,-3,-3,INT 8,INC,INT 28,QT,23,-4,R
24,1,2,5*,-5,11,QT,INC,QT,INC,20,-10,R
25,,6,,-1,-5,11,11,QT,QT,21,-14,R
26,,7,2,14,INC,10,20,INC,QT,22,13*,R
27,3,8,-2*,8,QT,14,QT,QT,10*,32,-13,R
28,-1,2,2,6,QT,INC,40,INT 32,3*,36,-7*,L
29,-4,15,DEF 15,8,-3,20,19,DEF 5,DEF 5,35,-13,L
30,3,13*,14*,8,25,17,16*,QT,INC,53,-9,L
31,OFF 5,5,5,6,INC,OFF 15,13,QT,INC,24,-1,L
32,4,-2,8,3,INC,6,QT,INC,INC,23,-6,L
33,2,3,9,1,INC,INC,INT 14,INC,INC,24,F -7,L
34,1,2,6,-2,INC,INC,INC,INC,INC,20,-7,L
35,2,5,3,B,INC,INC,INC,INC,INC,21,-8,L
36,5,4,7*,11,INC,7,INC,INC,INC,22,-9,L
37,3,1,4,1,8,4,QT,30*,INC,23,7,L
38,6,9,-3,6,10,9,12*,QT,INC,24,-11,L
39,3,10,3,8,QT,QT,QT,25,INC,22,3,L
