#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
11,52,40,OFF 15,DEF 15,8,OFF 15,1
12,38,DEF 15,OFF 5,F +3,16,38,1
13,58,14,39*,12,19,24,1
14,62,22,47,25,35,18,1
15,70,4,DEF 5,13,60,28,1
16,45,,DEF 15,9,F +7,34,1
17,55,8,48*,13,40,DEF 5,1
18,59,6,53,3,25,DEF 15,1
20,48,60,47*,13,16,25,0
21,56,35,46*,9,8,35,1
22,70,OFF 15,32*,OFF 15,10,40,1
24,69,25,44,10,,12,1
25,65,25,46,9,,34,1
26,70,F +4,54,14,45,32,1
27,58,19,53*,13,,37,1
28,49,12,BK -10,12,19,7,1
29,57,25,67,9,25,OFF 5,1
31,70,30,50,-3,OFF 15,30,1
32,60,25,12*,7,40,38,1
33,OB,25,42*,3,4,22,1
34,66,21,39,,2,35,1
35,68,24,27,5,,21,1
36,64,25,27*,7,,12,1
38,57,50,34*,10,6,13,1
39,53,17,41,13,60,24,1
