#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,,,,,,,-3,(12)
A-2,A,2,,-1,,,(-1),,,,
A-3,A,3,1,,(1),1,(1),(11),,,
A-4,A,4,1,-1,-1,,INC,,INC,,
A-5,A,5,1,,,,INC,,INT 12,INC,
B-1,B,1,-1,-1,,,,(-3),(18),,(15)
B-2,B,2,,,,-2,(1),,,,
B-3,B,3,(1),(1),(-1),,(2),,,,
B-4,B,4,,,,-1,INC,INC,(17),(50),(30)
B-5,B,5,-1,,1,,INC,INC,(15),,(42)
C-1,C,1,,-1,-1,1,(-3),,,,(18)
C-2,C,2,,,(-1),,-6,,,,
C-3,C,3,,,,,,-3,,,
C-4,C,4,-1,-1,,,INC,INC,(17),,(18)
C-5,C,5,-1,,-1,,INC,,(16),INC,
D-1,D,1,1,1,,1,,,,-3,3
D-2,D,2,,,,2,(-2),,,-2,(14)
D-3,D,3,,1,-1,,(-1),,,INC,3
D-4,D,4,,1,,,INC,(9),QT,,
D-5,D,5,1,1,,2,INC,,(18),-2,QT
E-1,E,1,2,1,2,3,-7,,,INC,2
E-2,E,2,1,1,,3,-6,,,-5,
E-3,E,3,1,,,,-2,(11),,-4,(15)
E-4,E,4,,,1,2,-2,,QT,QT,2
E-5,E,5,1,,,1,,(9),INC,,
F-1,F,1,2,,,3,,,,,(22)
F-2,F,2,,,,,2,(13),,,
F-3,F,3,(-2),(-2),2,(-5),2,(10),(23),QT,
F-4,F,4,(20),(17),(-4),(20),2,QT,QT,(40),QT
F-5,F,5,3,,(20),5,INC,INT 9,QT,(50),(17)
