#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,,,,-5,(6),,-3,-1
A-2,A,2,,,,,-2,,,,-1
A-3,A,3,1,1,(-1),2,-1,,,,
A-4,A,4,,1,-3,,,,INC,QT,
A-5,A,5,,2,-1,1,inc,INT 8,QT,INC,INC
B-1,B,1,,,4,,,,(18),,
B-2,B,2,,,3,,,,,,
B-3,B,3,(-1),1,3,,-4,,,,2
B-4,B,4,-1,1,2,2,-1,INC,(20),(50),
B-5,B,5,,2,2,1,INC,3,QT,QT,(17)
C-1,C,1,,,,2,-2,,,,1
C-2,C,2,,,(-1),,-7,,,,
C-3,C,3,,1,(1),1,-2,,(19),,2
C-4,C,4,-1,1,,2,INC,INC,(16),QT,
C-5,C,5,-1,2,,1,,INC,QT,INC,
D-1,D,1,,5,2,,-4,,-4,-4,
D-2,D,2,2,4,1,,-3,-2,,,
D-3,D,3,,,,,-3,-1,,INC,1
D-4,D,4,1,,3,2,,,,QT,INC
D-5,D,5,,3,,1,INC,INC,INC,,QT
E-1,E,1,2,6,4,3,-2,,,INC,
E-2,E,2,2,5,3,,-4,,-4,-4,-1
E-3,E,3,2,5,2,,-3,(4),,,INC
E-4,E,4,4,3,1,2,,,INC,QT,-3
E-5,E,5,3,3,2,1,,,INC,,
F-1,F,1,1,1,,5,,(13),2,,
F-2,F,2,1,,,,1,,6,,3
F-3,F,3,(-2),(-2),,(-5),12,,QT,QT,
F-4,F,4,(20),(20),(-4),(20),,QT,,(40),QT
F-5,F,5,,4,(18),3,INC,QT,(50),(50),(40)
