#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,50,19,DEF 5,14,1,OFF 5,1
11,67,18,OFF 15,DEF 15,1,OFF 15,1
12,12,18,DEF 15,8,20,3,1
13,58,DEF 15,53,OFF 15,35,16,1
14,65,OFF 15,45,9,20,42,1
15,69,9,37*,35,16,45,1
16,58,18,36,2,OFF 15,3,1
17,65,25,25,-7,DEF 15,DEF 5,1
18,68,19,49*,16,10,BK -12,-4
19,67,25,BK -8,1,TD,NG,1
20,63,16,41*,16,35,38,0
21,60,40,50,6,20,30,1
22,OFF 5,19,51*,14,12,40,1
23,57,21,43*,,1,49,1
24,52,F +27,33,1,10,23,1
25,54,30,33*,8,1,32,1
26,70,22,64,-4,35,28,1
27,64,45,50,17,20,44,1
28,61,19,47*,16,20,2,1
29,66,18,54*,OFF 15,1,DEF 15,1
30,49,20,62*,F +7,20,NG,1
31,51,25,43,5,10,22,1
32,55,16,24*,-5,16,47,1
33,62,23,49,1,8,23,1
34,59,25,46,-1,F +1,34,1
35,56,24,39,4,,39,1
36,53,17,38*,2,10,36,1
37,70,25,44*,OFF 15,12,21,1
38,58,14,54,7,1,17,1
39,69,18,OFF 5,-3,20,11,1
