#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,,-2,,-3,-3,,,-1
A-2,A,2,1,,-1,,-5,,1,-2,-1
A-3,A,3,1,,,(-1),,-4,,,
A-4,A,4,,-2,,-3,,,,,
A-5,A,5,,,,-1,inc,(3),(20),QT,INC
B-1,B,1,,,,,-1,-3,,,
B-2,B,2,,,,(-1),,,(20),,
B-3,B,3,(-1),,,,-3,,(19),(30),2
B-4,B,4,-1,-2,,-2,,,,(50),
B-5,B,5,,,2,,INC,(4),,INT35,(17)
C-1,C,1,3,,,,-6,-3,,,1
C-2,C,2,3,,(-1),,-4,,,,
C-3,C,3,2,,,(1),,INC,(20),,2
C-4,C,4,2,-2,-1,-3,INC,,,(38),
C-5,C,5,1,,-1,-1,-3,INT 6,(35),INT35,
D-1,D,1,1,3,,,-6,-1,,1,
D-2,D,2,,3,(-1),,,,,,
D-3,D,3,,2,,(-1),-4,,,,1
D-4,D,4,,2,-2,-3,,(3),(15),,INC
D-5,D,5,1,1,-1,-1,INC,QT,,QT,
E-1,E,1,5,3,,,-2,,,-9,
E-2,E,2,4,2,,,-3,,,,-1
E-3,E,3,,2,(-1),-1,-4,(7),,INC,INC
E-4,E,4,2,,-1,-1,,,,,-3
E-5,E,5,1,2,,-1,,,,INT 25,
F-1,F,1,1,,,,1,(14),,QT,
F-2,F,2,2,,2,(-5),9,,,,3
F-3,F,3,(-2),(-2),,,1,,QT,(42),
F-4,F,4,(20),(20),(-4),(20),,QT,(35),(TD),(40)
F-5,F,5,,,(20),,INC,,,,
