#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,DEF 15,DEF 5,DEF 15,OFF 5,DEF 5,PI 18,PI 27,DEF 15,TD,15,R
11,OFF 15,-4,DEF 15,OFF 5,F +6,OFF 5,DEF 5,DEF 15,OFF 5,32,5,R
12,OFF 5,OFF 5,OFF 15,OFF 15,OFF 15,10,10,20,OFF 15,30,4*,R
13,F +2,8,2,1,DEF 15,PI 5,DEF 15,QT,3,25,2,R
14,3,F -2,9,-4,30,QT,17*,30,QT,21,4,R
15,6,OFF 15,3,OFF 15,5,QT,20,40,7*,42,4,R
16,DEF 5,DEF 5,-1*,F +4,QT,11,13*,20,4*,29,2,R
17,-2,10,OFF 15,6,9,F +9,14,25,5*,40,6,R
18,15*,13,-8,DEF 5,DEF 5,25,F +13,DEF 5,DEF 5,37,19,R
19,8,4,18,B,-2,50,14,OFF 5,PI 3,45,-11,R
20,10,,B,-4,1,10,12*,40,6*,25,17*,R
21,B,-2,-3,-2,7,INC,19,OFF 15,4*,44,4,R
22,1,5,F -4,9,18,INC,QT,50,3*,21,3,R
23,-1,1,-2,-6,-1,5,QT,QT,2*,27,-14,R
24,2,2,1,11,3*,8,15,QT,QT,26,F -4,R
25,5,4,2,5,-2,16,INT 14,INT 35,INC,28,-6,R
26,1,-1,-6*,-1,DEF 15,OFF 15,INT 26,INT 28,5,34,-2,R
27,7,5,5*,5,4,12,20,OFF 5,6*,47,-11,R
28,9,4,14,-2,6*,5,INC,30,7*,39,-8,R
29,11,18,15*,9,9,-6,13,OFF 15,F +3,46,-4,R
30,18,12*,11,17,8,6*,25,BLACK,BLACK,35,-8,L
31,4,6,7*,12,QT,DEF 15,OFF 5,BLACK,BLACK,22,-13,L
32,2,2,-4,6,20,7,OFF 15,BLACK,BLACK,21,-12,L
33,3,1,3*,,INC,3,INC,BLACK,BLACK,23,-10,L
34,1,,,2,18,INC,INC,BLACK,BLACK,20,F -11,L
35,4,3,6,6,30,INC,INC,BLACK,BLACK,24,-7,L
36,5,4,4,4,25,INC,INC,BLACK,BLACK,23,-4,L
37,8,7,8,B,2,1,16,BLACK,BLACK,22,-5,L
38,,-1,2*,19*,6,INT 2,20,20,BLACK,29,-11*,L
39,14,3,10,2,-1,9,18,F +22,BLACK,49,-12,L
