#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,57,30,52*,7,25,OFF 5,1
11,65,DEF 15,22*,20,22,OFF 15,1
12,27,40,67,5,30,22,1
13,67,OFF 15,OFF 5,7,,36,1
14,47,OFF 15,41*,19,2,41,1
15,70,20,34*,6,9,43,1
16,61,7,25,11,F +8,1,1
17,68,35,47,DEF 15,23,38,1
18,50,25,55,6,45,DEF 15,1
19,58,22,BK -12,7,TD,10,1
20,49,14,16,5,45,8,0
21,50,F +13,44*,7,14,NG,1
22,57,F +23,54*,9,4,NG,1
23,48,13,42,10,25,42,1
24,60,22,38*,17,9,21,1
25,56,25,DEF 15,,1,18,1
26,OB,25,44*,,17,BK -13,-4
27,OB,23,OFF 15,6,21,12,1
28,63,12,12*,11,30,5,1
29,59,25,DEF 5,6,45,43,1
30,51,16,37*,20,24,40,1
31,53,17,46*,OFF 15,OFF 15,DEF 5,1
32,58,23,39,23,14,16,1
33,62,18,48*,,25,35,1
34,52,21,32*,9,,37,1
35,55,24,51,-4,,30,1
36,64,25,48,F,,20,1
37,54,10,43*,F +8,DEF 15,29,1
38,59,19,25*,20,35,14,1
39,69,25,36,7,25,2,1
