#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,,-2,,,,-7,,
A-2,A,2,1,1,,,14,,,,
A-3,A,3,1,2,,,,(11),,-2,-6
A-4,A,4,,,-2,2,,,INC,QT,-2
A-5,A,5,,,-1,,INC,,,INC,
B-1,B,1,,,,,,,(20),7,
B-2,B,2,,-1,,,19,,,3,
B-3,B,3,(-1),(-1),-1,-2,,-2,,(40),
B-4,B,4,-2,,,,,(3),(19),(30),(18)
B-5,B,5,-2,,,,INC,,,INT 36,(10)
C-1,C,1,,,-1,3,,-2,,,
C-2,C,2,,,(-1),3,,,,,
C-3,C,3,,-1,,,14,,,,
C-4,C,4,-2,-1,,1,,,(13),,(12)
C-5,C,5,-2,,-2,,INC,,(10),(60),(9)
D-1,D,1,1,,,,6,,,,
D-2,D,2,,,,,4,,,-2,
D-3,D,3,,,,,3,INC,,,-2
D-4,D,4,,2,,-1,,,QT,INT 29,-2
D-5,D,5,1,2,-2,-1,INC,,16,(25),
E-1,E,1,1,,1,,4,,,-9,-1
E-2,E,2,1,2,1,,6,,,-8,-4
E-3,E,3,1,,1,1,3,,,-6,
E-4,E,4,,1,,2,,(10),INC,INC,INC
E-5,E,5,,,,1,(20),QT,QT,INT35,
F-1,F,1,1,2,,5,20,4,,,
F-2,F,2,2,,2,,,,8,,4
F-3,F,3,(-2),(-2),,(-5),14,(15),QT,(48),(13)
F-4,F,4,(20),(20),(-4),(20),,QT,(31),QT,
F-5,F,5,,2,(20),,INC,3,,QT,QT
