#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 5,DEF 15,DEF 5,OFF 10,DEF 15,OFF 5,OFF 5,OFF 10,OFF 5,31,2,R
11,DEF 15,4,OFF 5,DEF 15,OFF 10,DEF 5,OFF 10,OFF 5,OFF 10,33,9*,R
12,7,OFF 10,-5,1,-10,INT 8,DEF 5,DEF 15,4,26,20,R
13,OFF 10,1,8*,6,17,6*,INC,QT,8,22,-14,R
14,OFF 5,OFF 5,OFF 10,-6,1*,,17,30,9*,20,8,R
15,6,3,7,8,OFF 5,OFF 10,16,QT,11*,24,20*,R
16,9,F -1,-8,1,OFF 5,DEF 15,QT,40,6*,28,-4*,R
17,-2,4,DEF 15,-1,18,16*,DEF 15,QT,8,25,-6,R
18,B,DEF 5,11,DEF 5,DEF 5,25,PI 17,DEF 5,DEF 5,38,-14,R
19,2,10,13*,8,11,PI 3,13,TD,PI 8,29,-13*,R
20,10,B,4,6,19,-2,18,INT 40,INC,34,-12,R
21,6,4,-6*,1,15,5,12,30,INC,32,10,R
22,5,-1,5,8,9,4,INT 14,25*,DEF 15,21,17,R
23,3,11,4,-2,QT,10,20,INC,INC,27,-3,R
24,8,2,1,6,13,7,QT,INT 24,INC,30,4,R
25,4,4,12,2,INC,9,QT,QT,5*,39,-12,R
26,3,-1,5,1,INC,2,INT 18,20,DEF 5,23,-2,R
27,-1,8,9*,1,-9,4,14,QT,15*,37,-6,R
28,11*,18*,16,8,-4*,13,18,F +30,15*,35,-11,L
29,-4,15,B,F +2,F +5,F +4,F +14,PI 22,F +6,27,-6,L
30,6,4,4,1,-4,5,15*,QT,16*,28,-9,L
31,F +1,6,F +1,2,8,6,13,INC,8,25,-8,L
32,3,2,2*,-2,16,3,INC,INC,7*,21,-5,L
33,4,5,,-6,14,QT,INC,INC,9*,22,-13,L
34,1,3,3,-1,7,INC,INC,INC,QT,20,-10,L
35,2,1,6,-2,-1,INC,INC,INC,QT,24,-9,L
36,,,-2*,OFF 5,6,INC,INC,INC,3*,23,-11,L
37,,7,-4,OFF 5,,8,14,INC,9,29,-7,L
38,3,-2,1*,1,12*,INC,19*,30,16*,26,-1,L
39,15,,10,-2,1,18,13*,QT,15*,36,F -4,L
