#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,,,,,,,-1
A-2,A,2,,,,,,,,2,-1
A-3,A,3,1,,,,,(11),-2,,
A-4,A,4,1,1,1,,(2),,(10),,
A-5,A,5,2,2,2,-1,(-1),INT 8,(16),,INC
B-1,B,1,,-1,-2,,,,,,
B-2,B,2,,,-1,,,,(19),,
B-3,B,3,(-1),(1),,-1,,,(17),(45),2
B-4,B,4,-2,,-1,,(12),(2),(15),,
B-5,B,5,,,,,(18),-1,,(32),(17)
C-1,C,1,,,-1,2,-1,-2,(17),,1
C-2,C,2,,,,,-3,,,,
C-3,C,3,,-1,(1),1,-1,,,,2
C-4,C,4,-2,-1,-2,2,,-1,,(46),
C-5,C,5,-2,,,,,,(16),(30),
D-1,D,1,1,1,-2,,,,,,
D-2,D,2,,,(-1),-2,-2,-2,-4,,
D-3,D,3,1,2,,,,-1,,3,1
D-4,D,4,1,,-1,,(3),,,,INC
D-5,D,5,1,,-1,,(1),INC,QT,(50),
E-1,E,1,,2,,,,,,-8,
E-2,E,2,2,2,,2,,,-4,-4,-1
E-3,E,3,,1,(-1),,(5),(4),,-1,INC
E-4,E,4,1,,-2,,,,INC,,-3
E-5,E,5,,,-1,,(-1),(1),INC,,
F-1,F,1,1,1,,1,,(15),12,,
F-2,F,2,,,,,,,,(45),3
F-3,F,3,(-2),(-2),(12),(-5),,4,,QT,
F-4,F,4,(20),(20),(-4),(20),(48),QT,QT,INC,(40)
F-5,F,5,4,4,6,1,(50),(20),QT,(TD),
