#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,18,DEF 15,18,DEF 15,DEF 5,OFF 5,25,OFF 5,OFF 5,36,13,R
11,OFF 5,DEF 5,1*,OFF 5,12,DEF 5,DEF 5,OFF 10,OFF 10,33,16,R
12,OFF 10,OFF 10,OFF 10,OFF 10,14,PI 5,14,QT,9*,32,6,R
13,,6,11*,DEF 15,10*,10,DEF 15,25*,15*,28,4,R
14,1,3,DEF 5,2,5,1,OFF 10,QT,25*,34,7*,R
15,DEF 15,4,F +2,1,-2,DEF 15,QT,INT 24,16,35,3,R
16,DEF 5,7,OFF 5,3,-3,OFF 10,11,QT,25*,38,2,R
17,F -1,4,-6*,DEF 5,10,2,QT,DEF 15,F +7,33,18,R
18,10,9,15*,11,OFF 5,,10,QT,DEF 15,23,2*,R
19,B,7,1,5,-4,25,40,TD,PI 14,TD,4,R
20,13*,10*,-10,11,30,14,12,25*,15,37,2,R
21,3,3,1,14,-1,-5,17,30,9*,30,-12,R
22,-1,OFF 5,DEF 15,F +2,20,F +4,OFF 5,20,25,26,5,R
23,6,8,7,6,INC,6,QT,INC,INT 9,27,F -9,R
24,4,2,5*,-1,INC,7,15,INC,INC,34,F -13,R
25,2,5,3,4,OFF 10,3,13,40,INC,35,-8,R
26,,F +4,8*,-4,2,QT,20*,QT,INC,31,F +3,R
27,3,6,B,12*,-1,17,18*,QT,9*,39,-3,R
28,1,12*,2,6,13,INT 3,12,QT,15*,38,14,L
29,7,13,-5,5,10,20,F +16,F +29,1,33,2,L
30,2,-1,-4*,-3,-2,8,PI 16,PI 35,16*,24,-5*,L
31,5,4,-3*,,15,-2,INC,INC,QT,21,-14,L
32,3,3,2,17,DEF 15,4,INC,INC,10*,22,-6,L
33,1,,4,6,QT,INC,INC,INC,INT 12,28,-4,L
34,4,1,-2,2,11,INC,INC,INC,INC,25,-10,L
35,2,2,,3,4,INC,INC,INC,QT,29,-9,L
36,5,4,10,,F +2,9,INC,INC,10*,26,-5,L
37,3,5,3,5,9*,11,INC,INC,9*,23,-13,L
38,8,3,14,9,30,5*,19,50,25*,20,-6,L
39,11*,7,3,-2,QT,INC,INT 15,DEF 5,DEF 5,33,-4,L
