#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,,-1,-4,,,-5,-5
A-2,A,2,,,,-2,-4,(1),,-3,
A-3,A,3,,,(-1),,,,,INC,-2
A-4,A,4,2,1,,,,(4),INC,,
A-5,A,5,1,1,-1,,INC,INT 8,3,,
B-1,B,1,-1,-1,2,,-2,,(18),,
B-2,B,2,,,1,,-1,-2,,,
B-3,B,3,(1),(1),1,(1),,-3,,,
B-4,B,4,,,,-1,-1,INC,(17),(47),(17)
B-5,B,5,-1,,1,,INC,,,(30),(12)
C-1,C,1,,,-1,-1,-7,INC,,,
C-2,C,2,-1,,(-1),,,,,,
C-3,C,3,,-1,,,-4,,,,
C-4,C,4,-2,-1,-2,,,2,(17),,(10)
C-5,C,5,,,-2,,INC,1,(16),INC,(15)
D-1,D,1,1,,,,,,,-4,-2
D-2,D,2,,,,,-5,,,,
D-3,D,3,,,(-1),(1),-6,,,INC,
D-4,D,4,,2,-1,-3,,(10),QT,,
D-5,D,5,1,2,,-1,INC,,(18),QT,QT
E-1,E,1,1,,,,,,,INC,
E-2,E,2,,2,,,-4,,,-4,-4
E-3,E,3,1,,-2,,-5,(11),,,-1
E-4,E,4,,1,,1,-2,,QT,,INC
E-5,E,5,,,,1,,(7),INC,QT,-3
F-1,F,1,,,,1,8,,,,
F-2,F,2,1,,,,2,10,6,,
F-3,F,3,(-2),(-2),,(-15),,,QT,QT,(16)
F-4,F,4,(20),(20),(-4),(20),,QT,,(50),QT
F-5,F,5,,2,(18),1,INC,(20),(50),(30),
