#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,DEF 15,DEF 5,-1,DEF 15,DEF 15,INT 12,DEF 15,1*,37,-14,R
11,OFF 10,OFF 5,-3*,DEF 15,6,F +3,10,F +36,6*,38,-9,R
12,F +4,OFF 10,OFF 5,OFF 5,OFF 5,DEF 5,PI 17,20,3*,30,-10,R
13,5,2,-6,-1,25,OFF 10,DEF 15,20,INC,27,-7*,R
14,OFF 5,8,-4,-2,4*,1,OFF 10,OFF 10,OFF 10,33,5,R
15,7,DEF 5,OFF 10,11,8,INT 4,OFF 5,OFF 5,OFF 5,36,1*,R
16,9,B,DEF 15,9,QT,2,20*,20,DEF 15,39,-8,R
17,11,3,F +1,DEF 5,25,PI 6,30,TD,F +8,24,-10,R
18,14*,3,B,-2,DEF 5,25,11,DEF 5,15*,32,-13,R
19,15,3,5,1,6,10,13,INC,PI 6,36,F -13,R
20,-2,2,-1*,2,QT,5,INC,50,DEF 5,22,-8,R
21,5,-1,,F +2,-5,7,DEF 5,QT,4*,34,8,R
22,7,6,8,9,OFF 10,OFF 5,12,40,1,25,-13,R
23,8,3,7,-3,INC,QT,INC,QT,2,28,-6,R
24,6,5,9,OFF 10,9,8,INC,INC,QT,20,,R
25,,2,2,1,1,10,INC,QT,QT,26,-7,R
26,,7,6*,2,INT -4,13,INT 17,INT 23,15*,29,-8,R
27,1,F +3,14*,13*,20,4*,20,INT 20,16*,23,3,L
28,10,18,5,-2,-5*,5,13,INT 47,15*,24,-9,L
29,DEF 5,3,-8,-1,F +2,-5,F +17,PI 27,-2*,23,-13,L
30,1,14*,4,12,14,QT,QT,INT 30,16*,35,-12,L
31,2,4,-5*,3,5,16,14,30*,6*,24,F +7,L
32,3,5,3,1,9,11,17,INC,INC,22,-8,L
33,4,1,1,-4,3,6,15,INC,INC,21,-5,L
34,1,,-2*,,INC,INC,INC,INC,INC,20,-10,L
35,2,4,4,,INC,INC,INC,INC,INC,23,-9,L
36,3,3,11,4,17,INC,QT,INC,INC,24,-7,L
37,5,2,5*,1,13,INC,19*,30,6*,21,F +14,L
38,1,9,2*,14,11,3,16*,20,3*,22,-4,L
39,18*,-3,15*,-1,19*,18,25,25*,6*,31,-8,L
