#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,55,11,51*,F,2,BK -12,-4
11,50,23,OFF 5,21,15,OFF 15,1
12,52,18,DEF 15,1,OFF 15,40,1
13,70,5,57,5,5,43,1
14,60,OFF 15,22*,-1,55,OFF 5,1
15,58,40,32,5,30,DEF 15,1
16,54,21,OFF 15,24,F +15,39,1
17,48,22,46*,DEF 15,DEF 15,DEF 5,1
18,53,18,33*,4,25,NG,1
19,68,24,BK -11,5,TD,13,1
20,53,11,DEF 5,26,30,15,0
21,70,F +9,28*,5,17,42,1
22,OFF 5,30,39,17,8,34,1
23,66,22,36*,1,,46,1
24,56,25,43*,2,,26,1
25,59,30,44*,F,22,23,1
26,64,23,38*,7,55,44,1
27,53,19,20*,-1,30,30,1
28,55,18,61*,,25,38,1
29,52,23,25*,5,25,29,1
30,68,13,50*,F,25,24,1
31,65,19,36,4,5,33,1
32,70,21,47,9,2,3,1
33,67,18,37,OFF 15,12,32,1
34,61,17,35*,,,21,1
35,63,30,31*,,,28,1
36,57,24,48*,10,15,17,1
37,69,25,34,4,17,36,1
38,54,20,17*,1,8,45,1
39,62,DEF 15,37*,28,23,31,1
