#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,,1,,-1,,-3,
A-2,A,2,-2,,(-1),2,,,,,-3
A-3,A,3,,,,,,-2,INC,,-1
A-4,A,4,-1,1,-1,2,(-1),,INC,INT28,
A-5,A,5,,1,,,(8),(3),INC,INC,
B-1,B,1,-1,,4,2,,,,,
B-2,B,2,,,3,,,,(17),,
B-3,B,3,(-1),,3,,,,,,
B-4,B,4,-2,1,2,,(14),(2),,(50),(15)
B-5,B,5,-1,1,,1,(12),(6),QT,,(19)
C-1,C,1,,,,4,-3,,,,
C-2,C,2,-2,,(-1),4,,,,,
C-3,C,3,(1),,(1),,-2,,,,
C-4,C,4,,1,-1,1,,(2),(19),QT,(10)
C-5,C,5,,1,-1,2,,,QT,INC,(15)
D-1,D,1,,2,,3,,-3,1,-3,-2
D-2,D,2,,2,,3,,,,-2,
D-3,D,3,,1,-1,,-2,,,INC,
D-4,D,4,2,,,1,(1),INC,INC,QT,
D-5,D,5,2,,,,(2),QT,INC,INT 25,QT
E-1,E,1,,3,2,6,,,,INC,
E-2,E,2,2,3,,5,,1,1,-5,-2
E-3,E,3,,2,,7,(5),,INC,INC,-4
E-4,E,4,1,2,1,,,,INT 18,QT,INC
E-5,E,5,,1,,1,(-1),INC,QT,INT 30,
F-1,F,1,,,,,,,,,2
F-2,F,2,,,,7,6,,6,,
F-3,F,3,(-2),(-2),,(-5),,(17),QT,QT,(14)
F-4,F,4,(13),(20),(-4),(20),(30),QT,,(40),QT
F-5,F,5,-2,2,6,,(50),,(50),(50),INT15
