#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 5,DEF 15,OFF 5,F +4,DEF 5,F +6,TD,DEF 5,1*,TD,11,R
11,OFF 10,16,-8*,DEF 5,9*,OFF 10,13,F +25,OFF 5,30,7,R
12,-1,-1,18,-2,OFF 10,INT 7,DEF 15,OFF 10,OFF 10,35,5,R
13,17,OFF 10,15*,10,7,DEF 15,OFF 10,OFF 5,3,22,4*,R
14,,8,6,-1,3,,OFF 10,DEF 15,2*,25,5,R
15,,13*,11*,1,17,2,QT,INT 21,5*,36,8,R
16,13*,-2,2,6,OFF 5,4,PI 14,20,DEF 5,31,12,R
17,DEF 5,-3,16,OFF 5,7*,DEF 5,19*,30,DEF 15,39,-10*,R
18,DEF 15,DEF 5,DEF 15,DEF 15,DEF 15,OFF 5,DEF 5,OFF 5,5*,32,6,R
19,B,-6,3*,10*,9*,13,20*,QT,PI 12,38,-8,R
20,8,OFF 10,DEF 5,OFF 10,-5,4,25,50,2*,28,4,R
21,9,B,B,-3,7,5,17,QT,1*,33,6,R
22,7,7,OFF 10,6,QT,INC,OFF 5,30,18*,24,,R
23,F,1,,10,-4,3,16,20,3*,22,-7,R
24,2,5,7,5,OFF 10,11,QT,QT,QT,23,-8,R
25,1,4,-1,7,9,8,INC,QT,QT,21,-7,L
26,11*,7,-4,10,QT,QT,INC,20,17,20,-2,L
27,5,2,-2*,2,20,7,17,20,5*,35,-8,L
28,9,10,10,10,3,14,11*,30,2*,26,-12,L
29,,18*,-6*,-1,7,30,F +18,PI 34,F +7,37,-12*,L
30,,4,2*,5,3*,10*,19,30,1*,29,-4,L
31,3,,1,-1,18,7,14*,25,INC,20,-14,L
32,5,1,6,6,-5,9,INT 14,INC,INC,23,-6,L
33,3,3,8*,11,10,6,15,INC,INC,22,-9,L
34,4,2,5,,INC,INC,INC,INC,INC,20,-8,L
35,2,3,4,,INC,INC,INC,INC,INC,24,-7,L
36,3,6,3,6,INC,INC,INC,INC,INC,21,-11,L
37,6,1,9,10,20,INC,20,40,INC,24,-3,L
38,9,4,14*,7,-4,5,13,20,INC,27,-5,L
39,-3,F +1,F +4,12*,F +4,PI 9,17,INC,INC,34,F -4,L
