#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,1,,,,,,,(10)
A-2,A,2,,,,-1,(-2),,,,
A-3,A,3,1,,-1,-1,(2),3,INC,,4
A-4,A,4,1,2,,,inc,,,,2
A-5,A,5,1,,,,inc,INC,INC,INC,
B-1,B,1,,-1,,,,-3,,7,(18)
B-2,B,2,-2,,,,,,(16),4,
B-3,B,3,,,(1),(1),,,,,
B-4,B,4,,-2,-3,,,,,(50),(22)
B-5,B,5,,,-1,,,(3),(18),(40),(28)
C-1,C,1,,,,,-4,-3,,6,(15)
C-2,C,2,,,(-1),1,-3,INT 7,,,1
C-3,C,3,,,,,-3,,,,
C-4,C,4,1,-2,-1,,INC,,,,(25)
C-5,C,5,,,-1,,INC,QT,(19),,3
D-1,D,1,,2,-1,-1,(-1),,,-4,
D-2,D,2,2,2,,-1,-3,,,,(16)
D-3,D,3,,,(1),-1,(1),,(15),INC,3
D-4,D,4,1,1,,,INC,(6),INT 16,QT,QT
D-5,D,5,,1,-2,,INC,QT,(12),,
E-1,E,1,2,3,,,-6,,,inc,
E-2,E,2,2,3,,1,-6,,,-6,
E-3,E,3,2,2,-2,,-4,(11),,-5,(17)
E-4,E,4,4,1,-1,,,,(13),inc,
E-5,E,5,3,1,,,,(9),,QT,
F-1,F,1,2,1,,3,4,,,,(20)
F-2,F,2,,1,1,,,7,6,,
F-3,F,3,(-2),(-2),2,(-5),,,QT,QT,QT
F-4,F,4,(20),(20),(-4),(20),1,(25),,(40),
F-5,F,5,3,,(20),1,INC,QT,(40),(TD),(43)
