#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,-6,DEF 5,DEF 5,DEF 5,DEF 15,OFF 5,OFF 15,TD,OFF 5,54,3,R
11,DEF 15,DEF 15,DEF 15,OFF 5,OFF 5,25,15*,DEF 15,OFF 15,24,16,R
12,7,3,B,-1,1*,OFF 15,OFF 5,QT,4*,22,1,R
13,3,14*,-4,-5,-3*,DEF 15,30,QT,3,24,8*,R
14,OFF 5,OFF 5,10*,-3,15,INT 2,13,33*,1*,21,18,R
15,2,3,5,-2,16,7*,PI 15,20*,QT,23,6,R
16,3,8,4,OFF 15,12*,F +9,DEF 15,28,QT,22,-6,R
17,DEF 5,11*,-7*,DEF 15,OFF 15,QT,F +14,DEF 5,F +3,24,4*,R
18,6,OFF 15,,1,DEF 5,PI 4,DEF 5,50,DEF 15,53,F +9,R
19,3,5,-5,1,-3,30,18*,47,PI 5,24,3,R
20,8*,,15*,-1,1,DEF 5,25,QT,QT,54,9,R
21,5,,8*,1,13,6,17*,37,QT,52,-3,R
22,1,F +3,5*,-1,3,QT,11*,INT 22,QT,51,-8,R
23,6,2,7,4,1,INC,INC,QT,QT,53,F -9,R
24,1,6,12,,4,INC,INC,INC,QT,50,F -2,R
25,5,9,OFF 15,,INC,INC,QT,INC,QT,55,-8,R
26,6,1,OFF 5,4,INC,2,QT,QT,2*,56,-6,R
27,F -2,3,,1,INC,INC,13,QT,5*,54,-3,R
28,17*,10,F -1,F -2,QT,-4,18,QT,3*,22,-14,R
29,-2,-4,18,-1,F +1,-8,20,PI 26,DEF 5,52,-12,R
30,-1,-1,-3,1,-2,10,19,OFF 5,INC,21,-6*,R
31,3,4,-2,2,INC,13,INT 14,QT,INC,24,-1,L
32,1,7,3,-3,11,INC,QT,OFF 15,INC,22,-12,L
33,2,5,2,-5,14,INC,16,22,INC,20,-7,L
34,4,1,4,3,-1,5,INC,INC,INC,23,-10,L
35,,4,1*,-4,QT,9,INC,INC,INC,20,-2,L
36,,2,6,-2,QT,8,INC,INC,INC,21,-11,L
37,2,,-1,2,13,7,INT 19,43,INC,24,-5,L
38,3,3,9,-1,15,6,14,26,INC,24,-6,L
39,OFF 15,17*,-8*,1,4,15,18,F +23,INC,20,-5,L
