#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,-2,DEF 15,DEF 5,DEF 15,DEF 15,25*,PI 17,PI 26,DEF 15,TD,-7,R
11,DEF 15,OFF 10,OFF 10,OFF 5,OFF 5,DEF 15,DEF 5,QT,OFF 10,35,-5,R
12,7,F +4,DEF 15,4,-2*,INT 8,30,25*,4,21,-6,R
13,F +1,10*,B,14*,5*,30,QT,F +23,2*,27,-8*,R
14,9,4,3*,6,11,3,TD,OFF 10,7*,30,4*,R
15,OFF 5,2,1*,-2,10,2,13*,OFF 5,QT,33,5,R
16,OFF 10,B,-6,4,4,OFF 5,18*,DEF 15,QT,40,3,R
17,-5,1,OFF 5,9,-1,F +6,10,20,OFF 5,48,4,R
18,F +1,DEF 5,10,DEF 5,DEF 5,-2,QT,20,DEF 5,49,2,R
19,1,18*,-10,4,11,-3,50,DEF 15,3*,45,-10,R
20,DEF 5,11,4,OFF 10,OFF 10,OFF 10,OFF 10,OFF 5,8*,29,-5,R
21,3,2,11,17,5,8,18,30,QT,25,-7,R
22,6,OFF 5,-3*,-4,30,6,22,20,QT,26,-6,R
23,3,5,5,13,INC,7,15,INC,6*,23,-2,R
24,4,6,-1*,1,INC,INC,INC,INC,INC,21,-10,R
25,3,1,7,9,QT,5,INC,INC,INC,39,-2,R
26,8,-2,2,-4,-1,6,20,INC,3*,28,-5,R
27,-1,8,16*,-2,,,19,30,1,31,-4,R
28,6,14*,8*,4,,DEF 5,13*,20*,5*,44,F -5,R
29,8,-3,9,F +6,F +6,PI 4,OFF 5,DEF 5,PI 10,41,-5,R
30,4,2,12*,4,-2,8*,17,INT 22,3*,21,-6,R
31,2,7,6,18,17,16,DEF 15,QT,INC,34,-10,R
32,3,2,4,4,-8,11,12,INC,INC,22,-9,L
33,5,4,1,5,10,9,16,INC,INC,36,-4,L
34,2,5,3,1,2,INC,INC,INC,INC,20,F -6,L
35,1,3,2,6,4,INC,INC,INC,INC,24,-8,L
36,,1,-2,,18,INC,INC,INC,INC,23,-7,L
37,,,,,19,10,INT 13,INT 26,3*,43,-9,L
38,12*,,,4,2*,4,10*,20,1,47,-5,L
39,10*,4,F -3,-2,12*,QT,F +17,50,F +6,38,-6,L
