#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,,,,,,,8,(10)
A-2,A,2,,,,,,,-2,2,
A-3,A,3,1,,,,,,-2,INC,4
A-4,A,4,1,1,,-2,(2),(7),INC,,2
A-5,A,5,1,1,-2,-1,(-1),,,,
B-1,B,1,-1,,3,,,,(19),,(18)
B-2,B,2,,,,,,,,,
B-3,B,3,(1),,1,-1,,,,,
B-4,B,4,-1,1,1,,(16),inc,(16),(47),(22)
B-5,B,5,,1,,,(6),3,QT,(30),(28)
C-1,C,1,,,-1,2,,2,,10,(15)
C-2,C,2,,,-2,,-4,-4,,7,1
C-3,C,3,,,,1,-1,,(18),5,
C-4,C,4,-1,1,-1,,,,,,(25)
C-5,C,5,-1,1,-1,,,inc,QT,,3
D-1,D,1,5,3,,,,,,-4,
D-2,D,2,4,3,,,,,,,(16)
D-3,D,3,,,,(1),-1,-1,,INC,3
D-4,D,4,2,1,,-3,(-1),,QT,,
D-5,D,5,1,,-2,-1,(1),INC,(18),QT,
E-1,E,1,3,6,1,,,,,INC,
E-2,E,2,2,5,1,,,,,-4,
E-3,E,3,2,1,1,,(5),(11),,,(17)
E-4,E,4,,1,,1,,,QT,,
E-5,E,5,1,3,,1,(-1),(7),INC,QT,
F-1,F,1,2,,,,,11,8,,(20)
F-2,F,2,,,,3,2,,,,
F-3,F,3,(-2),(-2),(12),(-5),1,4,QT,QT,
F-4,F,4,(20),(20),(-4),(20),(40),QT,(40),(60),QT
F-5,F,5,3,2,-1,1,(50),(20),(50),(50),(43)
