#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 15,DEF 15,DEF 15,OFF 15,OFF 5,OFF 5,DEF 15,OFF 5,DEF 15,36,-9*,R
11,4,2,B,B,F +5,F +7,F +13,25*,OFF 5,40,5,R
12,7,-3,F +3,2,-2,DEF 15,20,TD,OFF 15,33,20,R
13,16*,-1,OFF 15,11*,1,10,OFF 5,OFF 15,12*,42,2*,R
14,OFF 5,OFF 15,OFF 5,DEF 15,DEF 15,QT,17,50*,INT 21,21,6,R
15,9,OFF 5,5*,2,12,5,INT 13,30,INT 12,23,20,R
16,8,10,6,2,6*,,15*,40,5,22,-2,R
17,4,7,DEF 5,DEF 5,OFF 15,DEF 5,25,30,DEF 5,TD,,R
18,DEF 15,13*,-6*,OFF 5,DEF 5,3*,30,DEF 5,F +6,31,5,R
19,B,18*,-2,6,-2,40,10,TD,PI 13,48,20,R
20,2,11*,2,2,11,2*,18,INT 35,9,47,-10,R
21,1,3,9*,2,6,1,13*,50,2*,23,2,R
22,DEF 5,9,2,6,-2,OFF 15,DEF 5,DEF 15,5*,36,,R
23,3,DEF 5,-3*,12,1,INT 8,16,INT 24,20*,38,-3,R
24,,,,DEF 5,DEF 15,8,QT,INC,INC,32,F -11,R
25,,3,5,5,-5,INC,INT 18,INC,INC,37,F -5,R
26,-2,F +4,2,6,6,INC,12,INC,9*,31,-11,R
27,11,8,10,2,-2*,11,15,25,6*,33,-6,R
28,F,B,-2*,2,12,10,18,40*,3,43,-9*,R
29,-5,14*,-5,F +6,-2,20,40,F +24,20*,44,-14,R
30,2,15,3*,8,1,13*,19*,50,10*,21,-2,R
31,2,3,8,DEF 15,QT,7,OFF 15,PI 27,QT,20,-13,R
32,6,1,1,7,QT,9,20,INC,INC,35,-5,L
33,3,6,-1,-2,INC,4,INC,QT,INC,22,-12,L
34,5,2,4,7,INC,INC,INC,INC,INC,30,-10,L
35,1,4,7,5,INC,INC,INC,INC,INC,39,-9,L
36,4,5,6,B,INC,INC,INC,INC,INC,34,-8,L
37,2,3,12*,8,-5,18,INC,20,QT,24,-14,L
38,4,7,3*,2,11,6,INC,40,8*,46,-6,L
39,2,16,15,2,6*,PI 5,PI 11,QT,3,49,-13,L
