#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,2,3,-2,1,10,,,,-3
A-2,A,2,,,,2,,,,8,-2
A-3,A,3,2,2,,,4,,,,
A-4,A,4,1,,,,,(7),INC,,-1
A-5,A,5,,,,2,inc,,INT 18,QT,
B-1,B,1,,-1,-2,,10,,,,
B-2,B,2,-2,,(-1),,,,,,
B-3,B,3,,,,,10,-2,,(48),
B-4,B,4,-1,,,2,,(3),(18),,(16)
B-5,B,5,,-2,-1,2,INC,,,,(16)
C-1,C,1,,2,,3,10,-3,,,
C-2,C,2,,2,(-1),,,,,,
C-3,C,3,2,,,2,,,,,
C-4,C,4,,1,-2,,,,(20),(39),(11)
C-5,C,5,1,1,-1,,INC,,(25),(42),(12)
D-1,D,1,1,,-1,2,6,,1,,
D-2,D,2,1,2,,2,6,,,,-2
D-3,D,3,1,,,,,,,,
D-4,D,4,,1,,,1,(10),INC,(37),-1
D-5,D,5,,,-1,1,INC,,INT19,,
E-1,E,1,3,,1,4,,7,,,
E-2,E,2,3,,1,4,7,6,,-4,-3
E-3,E,3,3,,,,7,5,,INC,-2
E-4,E,4,2,1,,,,,INC,QT,INC
E-5,E,5,2,2,,2,(20),2,INT 15,,-5
F-1,F,1,3,7,,,,(12),,QT,
F-2,F,2,1,4,4,7,20,,,,1
F-3,F,3,(-2),(-2),,(-5),16,,(24),(50),(15)
F-4,F,4,(20),(20),(-4),(20),,QT,QT,,QT
F-5,F,5,,8,(20),,INC,QT,QT,INC,INT13
