#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,13*,-4,F -1,10,DEF 15,OFF 5,40,F +27,DEF 15,23,4,R
11,OFF 5,10*,OFF 5,DEF 15,OFF 5,DEF 15,QT,OFF 15,OFF 5,20,7,R
12,1,8,DEF 5,F +2,QT,11,PI 13,25*,7*,22,,R
13,9,B,-2*,10,7,17*,QT,30*,3*,24,-5*,R
14,DEF 15,OFF 15,8*,-2,8,2,17*,INT 45,4,36,-1,R
15,DEF 5,OFF 5,5,OFF 15,7*,OFF 15,OFF 15,20,-4*,31,20,R
16,1,7,-5*,OFF 5,OFF 15,DEF 15,DEF 15,30,OFF 15,21,4*,R
17,10*,13*,-4,10,F +3,INT 9,QT,OFF 5,-1*,24,8*,R
18,OFF 15,DEF 15,-8,DEF 5,DEF 5,-4,QT,40,DEF 5,24,-2,R
19,B,3,-3,10*,INC,20,13*,TD,2*,TD,9*,R
20,6,8,B,10,-4,F +6,INT 13,30,PI 12,23,-4,R
21,6,1,,9,8,PI 6,30,20,-3*,39,F -10,R
22,3,3,OFF 15,-3,10,5,OFF 5,DEF 15,1*,21,F -9,R
23,-1,,,9,12,QT,11,QT,2*,22,-4,R
24,2,3,14,2,QT,INC,15,QT,INC,37,10,R
25,5,3,6,7,3,INC,18,QT,INC,23,17,R
26,1,9,11,9,10,8,DEF 5,DEF 5,3,34,2,R
27,6,,17,10,7,,QT,30,-4*,21,-7,R
28,6,,1,-3,3,4,30,20,1*,24,-9,R
29,F -1,-3,-6,4,12*,1,F +14,QT,F +8,24,-10,R
30,11,-1,10*,1,7*,10,14*,50,8*,22,-3,R
31,8,5,-1,1,11,3,INT 18,INC,QT,20,-8,R
32,,DEF 5,5,7,-4,7,16,INC,5*,34,-2,L
33,3,1,4*,-4,4,6,20,INT 24,QT,35,-7,L
34,2,2,2,,INC,INC,INC,INC,INC,38,-10,L
35,4,4,3,,INC,INC,INC,INC,INC,30,-9,L
36,3,3,7,4,INC,INC,INC,INC,INC,32,-8,L
37,4,2,9*,1,11,9,INC,INC,-2,33,-6,L
38,1,6,1*,-3,7,5,19*,30*,-3*,20,-12,L
39,-3,F -3,DEF 15,10*,8,14,13,PI 35,7*,24,18,L
