#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,48,21,DEF 5,2,60,DEF 15,1
11,35,20,OFF 15,DEF 15,DEF 15,OFF 15,1
12,OB,DEF 15,47,3,OFF 15,BK -8,-4
13,53,25,16*,5,3,NG,1
14,57,OFF 15,38*,21,1,OFF 5,1
15,58,20,48*,-9,4,DEF 5,1
16,66,7,26*,-4,21,41,1
17,41,40,OFF 5,21,60,F -16,1
18,62,12,DEF 15,F -9,24,40,1
19,52,20,BK -12,21,TD,36,1
20,70,60,36,13,60,29,0
21,67,17,32*,F -1,3,37,1
22,57,55,44*,25,60,2,1
23,53,13,43,1,3,11,1
24,60,35,37*,7,1,27,1
25,64,22,34*,F -3,4,23,1
26,58,45,33,2,3,15,1
27,55,20,35,3,22,43,1
28,68,9,42,8,60,36,1
29,65,20,45*,6,60,34,1
30,52,15,53,13,3,42,1
31,45,18,41*,6,,35,1
32,61,23,40,5,,16,1
33,54,F +20,50,OFF 15,F,25,1
34,56,25,37,7,,38,1
35,59,30,42,-1,,31,1
36,63,24,39,-3,,27,1
37,46,14,45,6,60,35,1
38,50,20,55,8,23,32,1
39,42,5,31,5,60,33,1
