#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 15,B,OFF 5,F +3,DEF 15,DEF 5,PI 16,DEF 5,F +5,32,2*,R
11,DEF 15,OFF 5,DEF 5,DEF 15,-6,DEF 15,16*,QT,PI 8,30,13*,R
12,DEF 5,DEF 5,-8,OFF 15,OFF 5,F +2,DEF 5,OFF 5,9,34,16*,R
13,5,OFF 15,9,10,-6*,OFF 5,OFF 5,OFF 15,6*,35,-14,R
14,OFF 5,DEF 15,4*,-3,,-1,OFF 15,INT 47,2,23,F +4,R
15,F -3,6,-1,1,10*,5,DEF 15,50*,8*,26,-12*,R
16,-2,3,10*,OFF 5,4*,2,20,DEF 15,1*,36,-13,R
17,19*,-4,5*,DEF 5,9,OFF 15,19,QT,DEF 5,37,-9,R
18,B,10,DEF 15,2,DEF 5,-8,F +14,F +30,3*,38,-2,R
19,-6,1,4,10,11*,PI 7,INT 15,QT,6,TD,-13,R
20,-3,12,B,14*,QT,10,13*,QT,3*,26,1,R
21,7,-2,8,-1,QT,9,17,QT,DEF 15,40,,R
22,9,5,OFF 15,11,-1,4,INC,INC,4*,25,14,R
23,1,7,6,2,INC,INT 4,QT,OFF 15,INC,28,9,R
24,3,9,1,6,10,5,QT,INT 28,INC,43,6,R
25,,,2*,7,-5,7,QT,QT,INC,39,3,R
26,-1,,,13,18,,11,QT,INC,29,-6,R
27,5,1,8,3,4,11,19,QT,OFF 15,45,-10,R
28,11*,13*,18*,12*,15,9,INT 14,QT,INC,38,-4,R
29,15,15*,11,10,F +4,13,18*,PI 25,INC,32,,R
30,5,3,15,3,25,12*,14,QT,INC,44,-5,R
31,2,2,-4*,4,-3,3,15,INC,INC,21,-10,R
32,1,4,3,-2,,INC,INC,INC,INC,20,F -3,R
33,6,3,2,4,9,QT,INC,INC,INC,22,-11,R
34,4,1,4,-1,6,INC,INC,INC,INC,27,-8,L
35,2,1,1,-3,OFF 15,INC,INC,INC,INC,42,-7,L
36,1,2,7*,5,-2,INC,INC,INC,INC,24,-2,L
37,3,4,-2,4,11,6,INC,INC,INC,31,-9,L
38,14,3,14,1,16,8,12,25,INC,41,-3,L
39,17*,F +4,F -4,10,25,18,17*,50,OFF 5,33,-8,L
