#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,56,14,DEF 15,17,30,DEF 15,1
11,54,30,OFF 15,DEF 15,DEF 15,OFF 15,1
12,OFF 5,OFF 15,DEF 5,20,OFF 15,10,1
13,47,21,OFF 5,-4,3,OFF 5,1
14,53,18,40,-6,30,DEF 5,1
15,56,DEF 15,48*,OFF 15,6,41,1
16,61,40,50,30,16,10,1
17,57,25,BK -12,9,30,15,1
18,59,F +14,58*,30,30,13,1
19,58,18,38,3,30,21,1
20,63,-5,44,17,F +3,NG,0
21,58,23,37,1,3,24,1
22,70,10,42*,12,6,BK -20,-4
23,67,19,53,4,,2,1
24,66,16,39,,,NG,1
25,52,F +16,43,,,28,1
26,70,17,24*,,6,3,1
27,54,30,60,6,30,31,1
28,53,5,63*,20,30,10,1
29,57,16,17*,3,30,8,1
30,59,25,47*,14,30,33,1
31,60,24,21,F +4,30,27,1
32,68,25,47,F,6,28,1
33,62,22,37*,4,3,27,1
34,65,20,43*,-2,16,36,1
35,69,15,33*,-3,30,39,1
36,55,18,40*,2,16,24,1
37,64,23,39*,9,3,37,1
38,57,25,53*,18,30,24,1
39,58,21,F -12,3,30,18,1
