#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,1,,,-6,,,INC,
A-2,A,2,1,,,,,,,-7,
A-3,A,3,1,,,(-1),-2,,(17),,-3
A-4,A,4,,2,-1,-3,,,,INC,
A-5,A,5,,,,-2,INC,(5),,,(14)
B-1,B,1,-1,,,(-1),-3,-3,(17),8,
B-2,B,2,-1,-1,,,,,,2,
B-3,B,3,-1,(1),(-1),-2,,-3,(16),,(16)
B-4,B,4,,-2,-1,,-1,,(15),,
B-5,B,5,,,,-2,INC,INC,,(50),5
C-1,C,1,-2,,-1,,,,(16),,
C-2,C,2,,,(-1),,-6,,,,
C-3,C,3,,,,(-1),-6,INC,,INC,
C-4,C,4,,2,-1,-2,INC,,(15),,(15)
C-5,C,5,,1,-2,-1,,,(14),,(20)
D-1,D,1,,,,,-2,-2,,-3,
D-2,D,2,1,,-1,,-6,,,-2,
D-3,D,3,2,,-1,(-1),-2,,,INC,
D-4,D,4,,1,,-3,,-2,(15),,1
D-5,D,5,,1,,-1,INC,INC,(12),-3,(16)
E-1,E,1,2,5,2,,,,,INC,-2
E-2,E,2,1,4,,,-5,,,-5,
E-3,E,3,,,,-1,-4,,,INC,
E-4,E,4,1,2,2,-1,-1,(5),(13),QT,
E-5,E,5,,1,,-1,,,,INT30,
F-1,F,1,1,1,,,9,,,2,1
F-2,F,2,,1,,(-5),1,10,,,
F-3,F,3,(-2),(-2),2,,,,QT,QT,(17)
F-4,F,4,(20),(20),(-4),(15),,QT,(27),(40),
F-5,F,5,4,,(17),,INC,(20),(50),,QT
