#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,DEF 15,OFF 5,DEF 5,DEF 15,OFF 5,DEF 15,DEF 15,DEF 15,TD,,R
11,7,18,-6,OFF 5,14*,OFF 15,DEF 5,QT,OFF 5,31,3,R
12,B,B,B,-4,-4*,INT 9,20,25*,OFF 15,33,1,R
13,8,2,-1,1,,18*,OFF 5,OFF 5,4*,27,3,R
14,-1,-4,-5*,4,8,7,20,INT 30,QT,40,,R
15,2,1,F +1,8,40,8,13,PI 32,1*,45,,R
16,DEF 5,F +6,-1*,14*,-1*,QT,25*,40,5,36,1,R
17,OFF 5,OFF 5,3,DEF 15,19*,F +6,40,QT,F +4,38,-7,R
18,10*,DEF 5,DEF 5,,DEF 5,-8,PI 17,DEF 5,DEF 5,42,-8,R
19,18*,12,-1*,16*,QT,PI 4,QT,QT,PI 7,28,3,R
20,OFF 15,OFF 15,DEF 15,OFF 15,OFF 15,DEF 5,14*,QT,1*,35,-7,R
21,F +5,2,OFF 15,-4,7,DEF 15,18,30,QT,29,3*,R
22,,3,-3,5,,10,OFF 15,QT,2*,30,-11,R
23,,2,,F +11,13,3,INT 13,OFF 15,15,34,-12,R
24,3,8,6,4,OFF 5,INC,INC,20,INC,21,-10,R
25,2,5,4*,5,QT,9,INC,INC,INC,23,-9,R
26,,2,-2,2,7,11,QT,INC,16*,39,-11,R
27,13*,3,14*,13,18,8,QT,INC,QT,35,1,R
28,1,10*,11,15*,INC,13,11,30,2*,41,-10,R
29,-4,13,-8*,9,F +5,40,F +16,F +27,5,43,-7*,R
30,6,3,7*,8,8,12,20,40,3,26,-5,R
31,3,-1,1,12,-4,INC,INC,20,INC,37,-6,R
32,5,7,2,4,7,INC,INC,QT,INC,21,-9,R
33,1,1,3,1,1,INC,INC,30,INC,22,F -11,L
34,4,4,5,11,INC,INC,INC,INC,INC,20,-8,L
35,2,,9,,INC,INC,INC,INC,INC,24,-7,L
36,3,,8,2,INC,INC,INC,INC,INC,23,-10,L
37,6,1,16,6,-1,6,INC,INC,INC,32,-5,L
38,1,15*,,9,40,14,INC,30*,INC,25,-6,L
39,-2,-2,,16,17,20,10,INC,5*,44,-8*,L
