#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,1,,2,,2,,-8,-1
A-2,A,2,,1,,,,,,-2,-1
A-3,A,3,1,1,,1,,(11),,-2,
A-4,A,4,1,,1,1,(1),,(21),,
A-5,A,5,1,,1,,(2),,(18),INC,INC
B-1,B,1,,,4,2,,,,,
B-2,B,2,-2,,3,,,,(17),,
B-3,B,3,,,3,,,INC,(16),,2
B-4,B,4,-1,-2,,,(11),2,(15),(55),
B-5,B,5,,,2,1,(21),INC,,(34),(17)
C-1,C,1,,1,-1,4,,INC,4,,1
C-2,C,2,,1,,4,-5,,(20),,
C-3,C,3,,,(1),,,,,,2
C-4,C,4,2,2,-2,1,,2,,(32),
C-5,C,5,2,,,2,,,,,
D-1,D,1,1,5,,3,,,,1,
D-2,D,2,,4,,2,,,-2,,
D-3,D,3,,,-1,,-3,,,,1
D-4,D,4,,,,,(4),(10),,,INC
D-5,D,5,1,1,,,(1),,INC,QT,
E-1,E,1,1,6,2,5,,,-1,-9,
E-2,E,2,1,5,,4,,,,,-1
E-3,E,3,1,5,,,(4),(11),,INC,INC
E-4,E,4,,2,1,,,,INC,,-3
E-5,E,5,,1,,1,(8),(8),INC,,
F-1,F,1,2,5,,,,(14),,,
F-2,F,2,,2,,7,,,,,3
F-3,F,3,(-2),(-2),(12),(-5),,,(20),QT,
F-4,F,4,(20),(20),(-4),(20),(45),QT,QT,[TD],(40)
F-5,F,5,3,8,6,,(50),(20),QT,(50),
