#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,DEF 5,OFF 5,DEF 15,DEF 15,DEF 5,DEF 5,OFF 5,DEF 15,TD,7,R
11,DEF 5,DEF 15,DEF 15,DEF 5,OFF 5,OFF 5,17*,OFF 15,OFF 5,40,1,R
12,OFF 15,OFF 15,DEF 5,OFF 5,DEF 5,-2,11,DEF 15,OFF 15,30,15,R
13,4,B,8,9,10*,10*,OFF 15,20,6*,43,8*,R
14,OFF 5,OFF 5,OFF 15,OFF 15,OFF 15,DEF 15,DEF 15,30*,PI 9,25,2,R
15,9,-2,-2,7,16,4,OFF 5,PI 30,QT,29,4,R
16,F -1,F,F -4,F +5,9,F +8,20,20*,F +8,39,1,R
17,-3,3,4*,-1,F +5,PI 6,F +16,DEF 5,DEF 5,44,9,R
18,-2,-4,-7*,9,9,16,TD,40,2*,48,15,R
19,10,10,-10,1,6*,2*,17*,20*,7*,26,7,R
20,8,5,10,9,9*,-1,11*,20,3*,34,10,R
21,B,16*,-1*,1,10,QT,INT 16,TD,7*,32,-6,R
22,4,7,-5,2,-4,INC,INC,QT,6*,21,-8,R
23,4,2,6*,,6,INC,INC,QT,2*,27,-12,R
24,5,1,7,6,4,13,INC,25,QT,20,-9,R
25,2,5,4,-2,5,5,13,INT 31,5,29,-13,R
26,15*,6,-3*,9,,OFF 15,PI 13,QT,3*,23,-5,R
27,4,7,3,7,,9,14*,INC,INC,37,-4,L
28,4,,6,-2,9,1,19,INC,INC,35,-1,L
29,2,1,2,1,10,20,25,INC,INC,45,-14,L
30,,9,,7,QT,8,18,INC,INC,36,-9,L
31,1,3,,11,QT,9,15,INC,INC,28,F -11,L
32,7,,13,-2,11,6,12,INC,INC,25,F -6,L
33,6,2,1,-1,INC,7,QT,INC,INC,22,-7,L
34,3,4,5,3,5,INC,INC,INC,INC,21,-10,L
35,1,5,3,,-5,INC,INC,INC,INC,23,-11,L
36,2,8,2*,,7,INC,INC,INC,INC,24,-8,L
37,5,3,9*,11*,5,3,10,20,INC,26,3,L
38,4,12*,B,1,15,5,18*,50,INC,27,-10*,L
39,-1,10,8,1,6,INT 5,14,F +22,7*,49,-1,L
