#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,1,(-1),,,,9,-1
A-2,A,2,,-1,,,-5,(6),,6,-1
A-3,A,3,,,,6,-4,INC,2,5,
A-4,A,4,-1,-1,,,,,INC,QT,
A-5,A,5,,,1,2,INC,,INC,INC,INC
B-1,B,1,1,,-2,(-1),,,(20),7,
B-2,B,2,,,-1,-2,-2,,,4,
B-3,B,3,1,,,-2,-2,,,(40),2
B-4,B,4,,-1,-1,,,(2),(19),(30),
B-5,B,5,,,,,INC,1,,QT,(17)
C-1,C,1,,-1,-1,-1,-4,-2,,-4,1
C-2,C,2,,,,(-1),-6,,,,
C-3,C,3,,,(1),,,,(19),,2
C-4,C,4,2,,-2,-1,INC,-2,(16),,
C-5,C,5,2,-2,-1,-1,-5,,,QT,
D-1,D,1,2,,,,-5,,,5,
D-2,D,2,1,4,,,-4,,,,
D-3,D,3,1,,,(-1),,,,,1
D-4,D,4,,,-1,-3,-1,(10),QT,,INC
D-5,D,5,,2,-2,-1,QT,QT,(16),QT,
E-1,E,1,4,5,3,,-4,,,,
E-2,E,2,2,4,2,,-4,,,-3,-1
E-3,E,3,2,,1,-1,,(11),,INC,INC
E-4,E,4,,2,1,-1,-1,,INC,QT,-3
E-5,E,5,1,1,,-1,,(11),QT,,
F-1,F,1,,,,(-5),10,15,,,
F-2,F,2,,,,,,8,6,,3
F-3,F,3,(-2),(-2),(13),,,,QT,QT,
F-4,F,4,(20),(17),(-4),(15),,QT,(30),(40),(40)
F-5,F,5,-1,,4,(-6),INC,QT,,(TD),
