#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,12,15*,4,1,DEF 15,DEF 5,OFF 15,PI 23,OFF 5,38,-14*,R
11,F +3,B,DEF 5,DEF 15,OFF 15,PI 2,DEF 15,QT,DEF 15,26,1*,R
12,OFF 15,-2,-1*,-3,15,DEF 15,30,OFF 5,INT 8,30,2,R
13,OFF 5,4,B,,11,,11*,OFF 15,19,44,1,R
14,3,7,F -3,10*,-6,9,PI 12,DEF 5,6*,40,2,R
15,7,5,OFF 15,-4,-5,4,QT,30,11,49,,R
16,DEF 5,DEF 5,-6,OFF 15,5*,OFF 5,18,25*,8,32,,R
17,6,-1,-8*,F -2,5,-5,19*,20,OFF 15,51,,R
18,DEF 15,DEF 15,DEF 15,2,DEF 5,30,25,20*,DEF 5,53,,R
19,18,-6,10,3,2,40,40,INC,PI 9,57,,R
20,8,6,13,-2,11,OFF 15,19,50,QT,39,-6,R
21,14,4,2*,2,13,10,13,20,6*,42,-5,R
22,-2,5,OFF 5,-3,16,QT,OFF 5,QT,9*,26,-7,R
23,B,2,6,1,6,8,15,QT,17*,28,F -13,R
24,2,,,7,-6,5,25,INT 29,QT,21,F -5,R
25,4,OFF 5,-2,OFF 5,5,INC,INC,DEF 15,INT 10,33,F -6,R
26,1,F -2,8*,-2,6,INC,INC,20,INC,52,-8,R
27,6,9,-5*,-1,13*,3,INC,25,11*,45,-6,R
28,7,4,5*,2,15,-2,17*,40*,6,37,-5*,R
29,10,OFF 15,16,3,F +4,F +4,F +17,F +24,F +6,50,-13,R
30,15*,6,18,-4,14,6*,17,20,12*,34,-5,R
31,4,1,9,,6,16,INT 13,INC,16*,25,-3,R
32,2,4,5,,-5,1,INC,INC,8*,23,-14,R
33,3,2,3,,6,7,INC,INC,18*,27,-13,L
34,5,3,4,7,INC,INC,INC,INC,INC,20,-8,L
35,,1,2,9,QT,INC,INC,INC,INC,24,-7,L
36,2,3,1,10,6,INC,INC,INC,12*,22,-6,L
37,9,4,10*,3,12,INT 7,QT,INC,9,29,-1,L
38,1,3,7,-1,2,11,INT 18,INC,17*,47,-5,L
39,6,18*,11,DEF 5,OFF 5,20,DEF 5,20,INC,56,-14,L
