#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,,2,,,-5,INC,
A-2,A,2,,,,,,,-4,-7,-3
A-3,A,3,,(-1),(1),1,,-1,,,-1
A-4,A,4,-1,-1,-1,1,(3),(2),,,
A-5,A,5,,,,,(-4),(4),INT14,INC,
B-1,B,1,,,2,2,,-2,,8,
B-2,B,2,(-1),-1,1,,,-2,(16),2,
B-3,B,3,(1),(1),1,,,,(15),,
B-4,B,4,-1,(-2),,,(15),,,,(15)
B-5,B,5,,,1,1,(9),(3),,(50),(19)
C-1,C,1,-1,,-1,4,,,,,
C-2,C,2,,,(-1),4,-4,-3,,,
C-3,C,3,(1),(-1),,,,,,INC,
C-4,C,4,-1,-1,,1,-2,INC,(13),,(10)
C-5,C,5,,,-1,2,,INC,,,(15)
D-1,D,1,,,2,3,,,,-3,-2
D-2,D,2,,,1,3,,,-2,,
D-3,D,3,1,,1,,-2,,(11),,
D-4,D,4,1,1,2,1,(2),INC,,QT,
D-5,D,5,2,1,,,(-1),,QT,(25),
E-1,E,1,2,5,4,4,,3,,-7,
E-2,E,2,1,4,3,4,,,-5,-6,-2
E-3,E,3,1,,3,4,(4),3,,-4,-4
E-4,E,4,,2,2,,,(12),QT,,INC
E-5,E,5,,1,1,3,(8),(15),INC,QT,
F-1,F,1,,,,,4,3,(23),2,2
F-2,F,2,,,,7,,3,,,
F-3,F,3,(-2),(-2),2,(-5),,(15),QT,QT,(14)
F-4,F,4,(20),(11),(-4),(20),(35),QT,,(50),QT
F-5,F,5,-1,,(20),,(50),(20),INT18,,
