#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 15,14,OFF 5,DEF 5,DEF 15,DEF 15,30,DEF 5,DEF 5,22,3,R
11,9*,OFF 15,15*,OFF 5,F +4,OFF 5,DEF 15,PI 21,DEF 15,29,4,R
12,6,2,-3,OFF 15,OFF 5,OFF 15,PI 16,DEF 15,OFF 5,21,2,R
13,-2,15*,1*,7,OFF 15,INT 6,DEF 5,OFF 15,10,26,10,R
14,1,1,11*,-2,2*,5,OFF 15,20,5,25,7,R
15,3,6,9,13*,7,10*,17,40,1*,37,17,R
16,6,5,3*,DEF 15,40,8,11*,25*,8*,23,13,R
17,DEF 5,DEF 15,B,1,-3*,DEF 5,20,30,10,25,-2,R
18,DEF 15,-2,DEF 15,7,DEF 5,15,25*,TD,PI 4,22,,R
19,5,4,-10,1,-3,PI 4,TD,QT,7*,26,-10,R
20,2,5,14*,-1,-4,4,INT 18,30*,12*,24,3*,R
21,OFF 5,7,-2*,4,7,QT,INT 16,40,3*,29,4,R
22,F,9,-1,1,,QT,OFF 5,OFF 5,OFF 15,21,5,R
23,OFF 5,OFF 5,-4*,-2,-1,INC,QT,QT,6*,27,11*,R
24,2,F +1,F +1,-5,QT,5,QT,QT,QT,26,9,R
25,,3,3*,2,QT,8,15,QT,QT,28,12,R
26,,6,-1,-2,-2,9,QT,INT 28,2*,23,-10,R
27,3,DEF 5,OFF 15,-1,3,11,18,20,4*,25,-8*,R
28,3,DEF 5,1,,-3,14,20,50,12*,20,-6,R
29,5,-4,DEF 5,F,45,F +6,10,F +31,8*,28,6,L
30,2,5,1,4,1*,-2,19*,QT,INC,28,-5,L
31,4,-1,-6,-1,50,2,13,QT,INC,29,-14,L
32,2,3,2,6,2,6,INC,INC,INC,26,-12,L
33,5,4,5,-2,INC,INC,INC,INC,INC,27,F -8,L
34,1,1,7,,INC,INC,INC,INC,INC,25,-7,L
35,4,2,4,,INC,INC,INC,INC,INC,29,-9,L
36,2,3,,,INC,7,INC,INC,INC,28,-11,L
37,5,,,-1,4,3,14,INC,INC,25,-4,L
38,3,4,1,14,7,5,INT 13,INC,INC,26,-3,L
39,-1,11*,18,7,30,-4,F +13,20,F +6,27,-1,L
