#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,,,(-1),,,,-5,
A-2,A,2,,,,,(-2),,-2,-3,
A-3,A,3,1,1,,-3,(2),(6),-2,INC,-6
A-4,A,4,,1,,,INC,,INC,,-2
A-5,A,5,,2,-2,-2,INC,,,,
B-1,B,1,,,,(-1),,,(19),,
B-2,B,2,,,,-2,(-1),,,,
B-3,B,3,(-1),(-1),(-1),-2,(-4),-2,,,
B-4,B,4,-2,-2,-2,,INC,INC,(16),(47),(18)
B-5,B,5,,,-1,,INC,(3),,(30),(10)
C-1,C,1,,,-1,-1,(-2),-1,,,
C-2,C,2,,(-1),-2,(-1),-4,,,,
C-3,C,3,,-1,,,-5,INC,,,
C-4,C,4,-1,,-1,-1,INC,,(18),,(12)
C-5,C,5,-1,-2,-1,-1,INC,,,INC,(9)
D-1,D,1,1,1,2,,-3,,-4,-3,
D-2,D,2,,1,1,,(1),,,-2,
D-3,D,3,1,1,2,(-1),(-1),,,INC,-2
D-4,D,4,,,1,-3,INC,,,QT,-2
D-5,D,5,,,2,-1,INC,INT 9,INC,,
E-1,E,1,2,3,4,,-8,,,INC,-1
E-2,E,2,2,3,3,,-7,,-4,-5,-4
E-3,E,3,1,3,3,-1,,(5),,-4,
E-4,E,4,,1,,-1,,,INC,QT,INC
E-5,E,5,2,1,(1),-1,,,INC,INT 25,
F-1,F,1,1,1,,(-5),2,3,8,,
F-2,F,2,1,,,,2,2,,,4
F-3,F,3,(-2),(-2),(12),,,(15),QT,QT,(13)
F-4,F,4,(20),(20),(-4),(15),,QT,(40),(50),
F-5,F,5,,4,1,(-6),INC,,(50),(30),QT
