#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,61,40,70,9,30,OFF 5,1
11,33,DEF 15,OFF 15,5,2,OFF 15,1
12,OFF 5,20,25*,16,OFF 15,18,1
13,57,25,37*,11,30,15,1
14,56,F +12,DEF 15,-6,18,DEF 5,1
15,59,60,47,25,35,41,1
16,47,20,47*,21,F +9,14,1
17,42,21,OFF 5,50,4,F -2,1
18,67,20,43,11,16,DEF 15,1
19,70,25,40,11,TD,NG,1
20,50,20,50,23,30,9,0
21,57,23,49,14,14,26,1
22,58,20,42,6,1,BK -8,-4
23,62,40,DEF 5,9,25,30,1
24,65,,50,OFF 15,3,39,1
25,63,30,53,3,2,NG,1
26,58,25,58,13,12,40,1
27,52,17,39*,5,40,25,1
28,51,20,32*,11,25,5,1
29,54,25,49*,16,14,10,1
30,55,22,55,15,6,27,1
31,66,24,BK -20,DEF 15,DEF 15,19,1
32,69,15,38,8,16,12,1
33,68,OFF 15,40*,4,5,29,1
34,60,18,44*,,30,34,1
35,64,19,45,1,,38,1
36,70,16,30,F,,23,1
37,70,25,51,F +8,23,28,1
38,53,21,34*,17,7,7,1
39,46,25,50*,50,6,3,1
