#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,,1,,,INC,-5,-1
A-2,A,2,2,,,2,1,(2),,-3,
A-3,A,3,,1,-1,,(9),,,INC,-5
A-4,A,4,,1,,2,,(4),INC,,-1
A-5,A,5,,2,,,,,INT12,INT24,
B-1,B,1,-2,,,,,,(15),,
B-2,B,2,-1,,1,,,,,,
B-3,B,3,,(-1),1,,(15),,,,
B-4,B,4,,-1,,,,INC,,(47),(11)
B-5,B,5,-1,,,,,3,(16),(30),(30)
C-1,C,1,,,,3,,,,,
C-2,C,2,,(-1),(-1),3,,,,,
C-3,C,3,1,-1,,,,,(19),,
C-4,C,4,,,-1,1,,INC,(16),,(13)
C-5,C,5,1,-2,-1,,(7),INC,INT18,INC,(6)
D-1,D,1,1,3,2,,,,,,
D-2,D,2,1,3,1,-1,,,,,-1
D-3,D,3,1,2,,,(9),,3,,-1
D-4,D,4,1,1,2,,-3,(8),INT 16,(37),-2
D-5,D,5,,1,1,,,,INC,,
E-1,E,1,3,5,4,,(7),,,,-2
E-2,E,2,2,4,3,1,,,-4,-4,-2
E-3,E,3,2,,2,,3,(11),INC,INC,-1
E-4,E,4,,,2,1,,,-3,QT,INC
E-5,E,5,2,3,2,,,(8),INT18,,
F-1,F,1,3,1,,,5,(14),,,2
F-2,F,2,2,,1,7,,,6,,
F-3,F,3,(-2),(-2),2,(-5),(25),,QT,QT,(14)
F-4,F,4,(20),(20),(-4),(20),,QT,,(50),
F-5,F,5,,4,(20),,,(12),(50),(30),QT
