#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 5,OFF 15,OFF 5,DEF 15,DEF 15,-1,20,25*,DEF 5,27,20,R
11,OFF 15,DEF 5,7*,OFF 5,OFF 5,OFF 15,OFF 15,OFF 15,DEF 15,22,7,R
12,-1,10,-5*,-2,22,,19*,TD,5*,40,11,R
13,12*,2,2*,2,20,INC,13*,INC,15,22,-14,R
14,8,8,B,11,10*,5,INT 13,INT 32,OFF 5,30,4*,R
15,4,4,5*,4,7,7*,30,PI 23,INT 30,39,,R
16,5,9,11*,1,14,DEF 5,DEF 5,20,14*,42,9,R
17,-2,F -1,1,2,5*,DEF 15,PI 19,OFF 5,F +7,47,20,R
18,DEF 15,17*,DEF 15,F +1,F +3,20,13,DEF 5,OFF 15,45,6,R
19,6,B,18*,4,7,PI 8,10*,25,PI 12,TD,7*,R
20,7,6,14*,-3,2*,F +5,F +18,QT,13,44,-1,R
21,5,4,3,3,-1,5,11,50,4*,37,18,R
22,2,3,F +1,-2,10,6,DEF 15,QT,6*,25,-12,R
23,F +3,6,5,B,13,11,QT,QT,INC,43,13,R
24,,2,-3,-5,5,QT,15,QT,OFF 5,21,5,R
25,,1,,,6,15,12,INC,INT 21,23,16,R
26,2,7,,,INC,7,14,INC,7*,29,-11,L
27,9,5,3,,7,1,11,30*,5*,32,-6*,L
28,1,OFF 5,OFF 15,OFF 15,OFF 15,OFF 5,OFF 5,20,6,46,-8,L
29,DEF 5,DEF 15,DEF 5,DEF 5,DEF 5,18*,18,F +21,7*,48,-5,L
30,7,13*,3,12*,,5,QT,50,12*,34,-10,L
31,6,5,9,1,,8,QT,QT,13*,26,-5,L
32,3,3,4,9,2,4,INC,INC,INC,21,8,L
33,4,1,-2*,13,QT,INC,INC,INC,INC,22,-6,L
34,1,,8,2,INC,INC,INC,INC,INC,20,-10,L
35,3,2,2,3,INC,INC,INC,INC,INC,24,-9,L
36,1,1,1,8,5,9,INC,INC,INC,23,-2,L
37,2,4,6,-1,-1,10,17,40,QT,28,14,L
38,2,5,5*,4,20,2,13*,25,QT,35,-5,L
39,2,-3,3*,-3,6*,INT 4,INC,DEF 15,QT,49,F -3,L
