,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,W      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,,,(3),,4,-10,,,special team,53,26,7*,F,,OFF 10,10,,1,1,1,1,,,,,,,,
,,2,,,,(2),,,-10,-10,,,61,27,OFF 10,15,13,28,11,,1,1,1,1,,,,,,,,
,,3,,,,(1),(5),,-10,-13,,,63,46,48,3,11,20,12,,1,1,1,1,,,,,,,,
,Standard,4,,,,-5,(3),,,-13,(4),,67,24,DEF 5X,,-1,DEF 5,13,,1,1,1,1,,,,,,,,
,,5,,,,-5,,1,-10,-12,(3),,65,17,32*,56,,BK -12,14,,-4,1,1,1,,,,,,,,
,B,1,(3),(3),,-5,-1,(5),(13),,,,64,23,45,DEF 15,,DEF 5X,15,,1,1,1,1,,,,,,,,
,,2,(2),(2),,,-3,(4),(16),(14),,,62,39,47,51,,21,16,,1,1,1,1,,,,,,,,
,,3,(1),(1),-5,,-5,(3),(19),,,,68,25,BK -13,4,,29,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,-3,-4,,(-3),-7,-5,QT,,,,72,28,26*,17,,37,18,,1,1,1,1,,,,,,,,
,,5,-3,-4,(3),,-9,-5,4,,1,,75,31,44,12,TD,DEF 15,19,,1,1,1,1,,,,,,,,
,C,1,,,(3),,(5),-5,-4,-12,(7),,55,36,31*,,16,23,20,,1,1,1,1,,,,,,,,
,,2,,,(2),,(4),-4,-3,-9,(6),,57,15,50,-1,40,26,21,,1,1,1,1,,,,,,,,
,,3,,,(1),,(3),-3,-5,,(5),,52,18,33*,14,10,17,22,,1,1,1,1,,,,,,,,
,Spread,4,,,-5,,-2,INT 7,,-16,(4),,61,20,33*,OFF 15,48,22,23,,1,1,1,1,,,,,,,,
,,5,,,-11,,,-1,-6,-5,(3),,51,14,41,6,OFF 15,32,24,,1,1,1,1,,,,,,,,
,D,1,,,,,,-1,-4,,-1,,64,F + 10,42,12,25,24,25,,1,1,1,1,,,,,,,,
,,2,,,,,,-2,-4,-15,-2,,58,OFF 15,30,13,60,26,26,,1,1,1,1,,,,,,,,
,,3,4,,,4,-1,-3,,-11,-3,,56,OFF 15,43,43,,36,27,,1,1,1,1,,,,,,,,
,Short Pass,4,,,,,-3,-2,-9,-12,INT 11,,54,DEF 15,30*,,26,38,28,,1,1,1,1,,,,,,,,
,,5,,,,,-5,-5,-9,-10,-7,,53,29,28*,5,,OFF 5,29,,1,1,1,1,,,,,,,,
,E,1,4,4,,4,,6,,-15,,,55,16,61,,,19,30,,1,1,1,1,,,,,,,,
,,2,,,,,,,,,,,OB,12,OFF 5,8,62,15,31,,1,1,1,1,,,,,,,,
,,3,,,,,,,,-20,-2,,58,11,37*,,18,26,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,,,,INT 18,INT 30,,,59,13,39*,11,22,26,33,,1,1,1,1,,,,,,,,
,,5,,,,,,,INT 10,INT 42,-7,,50,23,38,10,4,26,34,,1,1,1,1,,,,,,,,
,F,1,-5,,5,,(18),13,,QT,,,61,22,36,9,6,35,35,,1,1,1,1,,,,,,,,
,,2,,-5,,-5,(13),,,QT,,,60,21,36*,1,9,31,36,,1,1,1,1,,,,,,,,
,,3,,,-5,,(TD),QT,QT,QT,QT,,59,19,34,2,37,30,37,,1,1,1,1,,,,,,,,
,Blitz,4,,,,,INT 0,,INT 17,-19,,,58,31,DEF 5,,32,25,38,,1,1,1,1,,,,,,,,
,,5,-4,-4,-12,-4,(TD),,-9,-20,,,57,32,55,,DEF 15,27,39,,1,1,1,1,,,,,,,,
,"Record: 10-6-0, Finished 1st in NFC West Division... L 22-17 vs Philadelphia Eagles; W 48-17 at Minnesota Vikings; W 42-27 at St. Louis Cardinals; W 24-20 vs Atlanta Falcons; W 33-13 at New England Patriots; L 10-7 vs Los Angeles Rams; W 32-13 at New Orleans Saints; W 45-35 at Los Angeles Rams; L 27-13 vs New York Jets;  L 20-17 vs Miami Dolphins; W 27-0 vs New Orleans Saints; L 28-24 at Atlanta Falcons; L 13-3 at Chicago Bears; W 35-21 vs Tampa Bay Buccaneers; W 23-10 at Buffalo Bills;  W 42-17 vs Dallas Cowboys; Post Season....Divisional...Playoffs  Dec 31 W 24-23 vs Detroit Lions;  Conference Championship  Jan 8 L 24-21 at Washington Redskins. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,3%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,90%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,90%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,90%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,90%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,79%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,63%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,29%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,14%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,2%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,6%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
