1983 San Francisco                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,DEF 15,B,9,-3,DEF 5,12,DEF 15,PI 31,OFF 15,,,23,23,10,,,,,,,,,,,,
,11,6,1,2,8,20,5,OFF 5,QT,28,,,16,15,11,,,,,,,,,,,,
,12,7,-3,1,5,10,DEF 15,12,QT*,PI 17,,Yardage factors: 100% / 80%,11,11,12,,,,,,,,,,,,
,13,1,F + 2,DEF 5,5,19*,18,DEF 5X,DEF 5X,9,,,12,12,13,,,,,,,,,,,,
,14,,7,6,1,,OFF 5,17,,19,,,19,10,14,,,,,,,,,,,,
,15,-1,3,-3,8,15*,F + 8,11,,,,,32,-9,15,,,,,,,,,,,,
,16,F,7*,OFF 5,4,OFF 5,8,19,,3,,,23,-5,16,,,,,,,,,,,,
,17,DEF 5,2,2,9,25,DEF 5,6*,,23,,,11,-3,17,,,,,,,,,,,,
,18,9,5,6,DEF 5,DEF 15,OFF 15,INT 14,OFF 5,41,,,25,-14,18,,,,,,,,,,,,
,19,OFF 15,DEF 15,-11,DEF 15,77,4,OFF 15,DEF 15,DEF 15,,,12,-11,19,,,,,,,,,,,,
,20,B,-2,DEF 15,5,8,6,10,20,18,,,18,-5,20,,,,,,,,,,,,
,21,3,5,-2,8,4,QT,12,DEF 5,14,,Power rating: 225 ± 0,33,-2,21,,,,,,,,,,,,
,22,5,2,2,-2,3,6,16,QT,8*,,,11,F - 8,22,,,,,,,,,,,,
,23,8,OFF 5,-5,3,OFF 10,7,14*,,7,,,10,2,23,,,,,,,,,,,,
,24,4,6,4*,4,2,10,11,,9*,,,15,-6,24,,,,,,,,,,,,
,25,5,5,3*,2,-5,6,13,,2*,,,14,16,25,,,,,,,,,,,,
,26,OFF 5,5,5,-1,9*,11,9,,OFF 5,,,10,-4,26,Fumble Recovered 10-24; Lost Ball 25-39,,,,,,,,,,,
,27,9,5,OFF 15,7,6,6,OFF 10,QT,F + 6,,,34,-10,27,,,,,,,,,,,,
,28,5,8,5,9,27*,DEF 5X,18,F + 21,22,,,25,-13,28,,,,,,,,,,,,
,29,OFF 10,OFF 10,8,OFF 10,F - 2,13,PI 12,PI 31,DEF 5,,,18,-12,29,,,,,,,,,,,,
,30,7,4,1,5,11,10,QT,,OFF 10,,,71,-1,30,,,,,,,,,,,,
,31,2,5,,OFF 5, -5*,OFF 10,15,,11*,,,13,7,31,,,,,,,,,,,,
,32,-2,4,9,4,7*,9,,,5,,,12,5,32,,,,,,,,,,,,
,33,6,-1,B*,,-1,11,,,,,,16,18,33,,,,,,,,,,,,
,34,7,,8,B, -2*,,,QT,,,,17,9,34,,,,,,,,,,,,
,35,5,7,,9,,10,18,QT,,,,16,-7,35,,,,,,,,,,,,
,36,4,9, -1*,5,1,7,12,38*,6,,,14,1,36,,,,,,,,,,,,
,37,8,5,7,-2,22,6,7,OFF 10,15*,,,13,6,37,,,,,,,,,,,,
,38,1,4,F,6,17,11,F + 10,TD,QT,,,39,-3,38,,,,,,,,,,,,
,39,6,DEF 5,2,F + 11,-7,PI 8,DEF 5,73,DEF 5X,,,11,-8,39,,,,,,,,,,,,
