#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,B,9,-3,DEF 5,12,DEF 15,PI 31,OFF 15,23,23,R
11,6,1,2,8,20,5,OFF 5,QT,28,16,15,R
12,7,-3,1,5,10,DEF 15,12,QT*,PI 17,11,11,R
13,1,F + 2,DEF 5,5,19*,18,DEF 5X,DEF 5X,9,12,12,R
14,,7,6,DEF 5X,14,3,10,21,11,19,10,R
15,5,4,2,3,QT,9,F + 15,31,6,32,-9,R
16,1,1,3,2,INT 23,4,13,QT,11,23,-5,R
17,DEF 5,1,OFF 5,1,25,,F + 15,QT,14,11,-3,R
18,1,2,4,2,,2,INT 18,OFF 10,13,25,-14,R
19,OFF 15,OFF 15,4,OFF 15,OFF 15,OFF 15,PI 18,PI 32,PI 21,12,-11,R
20,2,1,2,F - 1,17,13,14,35,QT,18,-5,R
21,1,1,3,,16,12,13,QT,DEF 5X,33,-2,R
22,DEF 5,1,OFF 5,1,25,,F + 15,QT,14,11,F - 8,R
23,1,2,4,2,,2,INT 18,OFF 10,13,10,2,R
24,2,1,B,2,3,4,11,INT 28,QT,15,-6,R
25,,3,3,1,5,8,QT,-2,L,14,16,
26,1,,,1,15,F + 10,15,QT*,1,10,-4,L
27,3,2,4,-1,10,-2,QT,QT,OFF 10,34,-10,L
28,F - 2,DEF 5,5,2,4,14,PI 15,31,1,25,-13,L
29,2,DEF 15,OFF 10,DEF 15,6,16,11*,DEF 15,2,18,-12,L
30,1,1,2,DEF 5,7,4,13,,4,71,-1,L
31,1,B,F,1,9,17,,,1,13,7,L
32,2,1,1,,,,,,L,12,5,
33,B,2,1,2,,,,,,16,18,L
34,1,3,B,,,,,39*,,17,9,L
35,2,1,1,B,-2,,,,,16,-7,L
36,1,2,2,1,,,,,,14,1,L
37,3,1,-1,2,,3,,1,2,13,6,L
38,2,2,3,1,2,4,,,3,39,-3,L
39,1,3,1,B,QT,PI 7,1,80,OFF 5,11,-8,L
