,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,,,-2,(-1),,,-3,,special team,53,15,DEF 5,4,14,BK -8,10,,-4,1,1,1,,,,,,,,
,,2,,(5),,-1,(0),(1),,-6,,,70,11,50*,33,56,45,11,,1,1,1,1,,,,,,,,
,,3,,,,-1,,,,-2,,,59,7,36,8,,30,12,,1,1,1,1,,,,,,,,
,Standard,4,,,(4),,-1,-1,,QT,(8),,52,OFF 15,49,2,-1,F - 5,13,,1,1,1,-4,,,,,,,,
,,5,(1),,(3),,-1,-1,,INT 37,,,54,23,42,,14,18,14,,1,1,1,1,,,,,,,,
,B,1,(1),(0),,-1,-1,,,,,,63,13,41,,,16,15,,1,1,1,1,,,,,,,,
,,2,(1),(1),-3,-1,4,,,(10),,,59,28,38,59,,28,16,,1,1,1,1,,,,,,,,
,,3,(1),(1),,-1,,(6),,,,,61,9,54,22,OFF 15,OFF 5,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,(1),(4),(4),,,,,,,,51,14,BK -12,3,OFF 15,OFF 5,18,,1,1,1,1,,,,,,,,
,,5,(1),,,,,,[TD],,[TD],,58,13,OFF 15,2,11,OFF 10,19,,1,1,1,1,,,,,,,,
,C,1,,,-4,,,(2),,-12,,,OB,27,50,12,,32,20,,1,1,1,1,,,,,,,,
,,2,,(4),-5,,,(3),,-17,,,60,6,48,,3,15,21,,1,1,1,1,,,,,,,,
,,3,,,-5,(4),,,,-5,,,57,OFF 15,43,3,6,OFF 10,22,,1,1,1,1,,,,,,,,
,Spread,4,,,,,,,(10),QT,,,58,22,OFF 10,1,5,21,23,,1,1,1,1,,,,,,,,
,,5,(2),,,,,,(10),INT 15,,,71,16,34*,9,19,18,24,,1,1,1,1,,,,,,,,
,D,1,7,,10,,,,-1,,,,60,21,33*,7,20,19,25,,1,1,1,1,,,,,,,,
,,2,,,10,,,,-1,,,,52,10,40,1,,23,26,,1,1,1,1,,,,,,,,
,,3,,(9),,,,,-1,-1,,,60,5,21*,6,6,20,27,,1,1,1,1,,,,,,,,
,Short Pass,4,(4),,,8,-1,INT 8,INT 13,INT 33,INT 12,,59,25,OFF 5,16,,26,28,,1,1,1,1,,,,,,,,
,,5,,,,2,-1,-1,[TD],[TD],(3),,55,12,BK -15,8,20,DEF 5,29,,1,1,1,1,,,,,,,,
,E,1,7,,,,5,,,,,,56,38,DEF 5X,5,56,DEF 5X,30,,1,1,1,1,,,,,,,,
,,2,,(11),,7,9,(5),,,,,OB,20,37*,14,10,BK -7,31,,-4,1,1,1,,,,,,,,
,,3,,,,9,3,(7),,,,,53,26,34*,10,30,12,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,14,1,(8),INT 20,INT 25,INT 17,,61,17,35*,,OFF 15,17,33,,1,1,1,1,,,,,,,,
,,5,,,4,,2,(28),(20),,(19),,54,18,32*,11,11,33,34,,1,1,1,1,,,,,,,,
,F,1,,,,(-2),-3,QT,QT,QT,QT,,50,19,37*,OFF 10,14,13,35,,1,1,1,1,,,,,,,,
,,2,,-5,,10,8,,,QT,,,58,24,30*,17,3,14,36,,1,1,1,1,,,,,,,,
,,3,(0),,,,8,,,[TD],,,53,F + 5,39,OFF 10,6,24,37,,1,1,1,1,,,,,,,,
,Blitz,4,-2,10,10,,8,,(10),,(8),,57,OFF 15,45,F,32,22,38,,1,1,1,1,,,,,,,,
,,5,,,-12,,6,-6,(10),(10),(8),,65,28,19*,-1,5,DEF 5,39,,1,1,1,1,,,,,,,,
,"Record: 8-8-0, Finished 2nd in NFC Central Division… L 20-17 vs Atlanta Falcons; W 17-10 vs Tampa Bay Buccaneers; L 34-31 at New Orleans Saints (OT); L 22-19 at Baltimore Colts (OT); W 31-14 vs Denver Broncos; L 23-14 vs Minnesota Vikings; L 31-17 at Detroit Lions; W 7-6 at Philadelphia Eagles; L 38-17 vs Detroit Lions;   L 21-14 at Los Angeles Rams;  W 17-14 vs Philadelphia Eagles; W 27-0 at Tampa Bay Buccaneers; W 13-3 vs San Francisco 49ers; L 31-28 at Green Bay Packers;   W 19-13 at Minnesota Vikings; W 23-21 vs Green Bay Packers.  
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,7%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,81%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,81%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,81%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,62%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,35%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,17%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,13%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,1%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,1%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,6%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,5%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
