1983 Chicago                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,1,2,F,6,30,PI 6,PI 12,74,33*,,,23,-11,10,,,,,,,,,,,,
,11,2,5,5,2,6,OFF 5,INT 11,21,11*,,,18,22,11,,,,,,,,,,,,
,12,OFF 10,7,F + 1,-3,3,OFF 10,17,DEF 5X,INT 14,,Yardage factors: 100% / 80%,13,27,12,,,,,,,,,,,,
,13,6,7,3,4,8,6,15,43*,QT,,,27,10,13,,,,,,,,,,,,
,14,-1,6,5,1,5,9,13,QT,14*,,,11*,13,14,,,,,,,,,,,,
,15,8,OFF 5,5,DEF 5,3,DEF 5X,10*,QT,OFF 5,,,14,3*,15,,,,,,,,,,,,
,16,9,F + 6,8,-2,15*,11,16,PI 50,DEF 5X,,,22,11,16,,,,,,,,,,,,
,17,6,1,7,OFF 10,-7,10,DEF 5X,INT 23,21,,,32*,2,17,,,,,,,,,,,,
,18,-3,OFF 15,OFF 10,8,DEF 15,DEF 15,PI 13,73,PI 7,,,17,20,18,,,,,,,,,,,,
,19,OFF 15,9,B*,OFF 15,OFF 15,INT 5,OFF 15,49,OFF 15,,,16,32,19,,,,,,,,,,,,
,20,4,3,OFF 15,F + 2,3,16,INT 16,DEF 15,6*,,,12,13*,20,,,,,,,,,,,,
,21,6,-2,DEF 5,3,14,2,OFF 10,QT*,17,,Power rating: 220½ ± 1,39,9,21,,,,,,,,,,,,
,22,4,5,-3,OFF 5,F + 14,8,QT,OFF 10,14*,,,16,-13,22,,,,,,,,,,,,
,23,DEF 5,,-1,9,24,9,11,OFF 5,7*,,,11,7,23,,,,,,,,,,,,
,24,B,-3,,3,,,,,10,,,10,8,24,,,,,,,,,,,,
,25,5,5,B*,,,,,,,,,13*,-7,25,,,,,,,,,,,,
,26,7,5, -4*,6,11,1,14,60,,,,21,-10,26,Fumble Recovered 10-27; Lost Ball 28-39,,,,,,,,,,,
,27,5,5,8*,2,9,7,12,,,,,19,6*,27,,,,,,,,,,,,
,28,F - 1,8,6*,7,OFF 5,INT 7,,,23,,,27,12,28,,,,,,,,,,,,
,29,5,OFF 10,OFF 15,9,DEF 5,12,18*,INT 43,DEF 15,,,22,4,29,,,,,,,,,,,,
,30,7,6,9,5,4*,5,15,,,,,20,F - 2,30,,,,,,,,,,,,
,31,3,4,7,2,10,5,10,,18*,,,15,9,31,,,,,,,,,,,,
,32,-2,B,2,7,6,3,12*,87,6,,,14,-10,32,,,,,,,,,,,,
,33,,5,B,2,9,-2,10,,,,,23,9,33,,,,,,,,,,,,
,34,4,3,8*,-1,,,,,,,,20,-3,34,,,,,,,,,,,,
,35,5,4,4,B,QT,QT,QT,QT,,,,12,-6,35,,,,,,,,,,,,
,36,OFF 5,B,6,B,OFF 10,6,QT,QT,QT,,,22,-5,36,,,,,,,,,,,,
,37,B,DEF 5,6,3,13,8,11,20,OFF 10,,,16,F - 4,37,,,,,,,,,,,,
,38,9,-1,OFF 5,5,-5,4*,OFF 5,72,15,,,49,-8,38,,,,,,,,,,,,
,39,8,6,1*,F,52,4,19*,23,INT 7,,,20,-14,39,,,,,,,,,,,,
,"The Bears made a tremendous offensive improvement in 1983, They improved from 26th on offense, to 4th overall, 1st in rushing, and 2nd in passing. Defensively, they moved up from 16th overall to 8th. The Bears finished the second-half of the season 5-3, and may have finished as strong as 11-5 had they pulled out a few close losses. Statistically, they were enormously better than in 1982, thanks to the additions of rookies from the star class of '83. The club posted an 8-8 record under second year head coach Mike Ditka, but missed postseason play. Jim McMahon was the quarterback. He completed 175 of 295 pass attempts.
",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,16%,16%,18%,18%,24%,26%,21%,38%,38%,,,0%,46%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,53,10,2,216,28-39,,,,,,,
"1 +1, 2",,60%,63%,57%,57%,55%,55%,49%,24%,39%,,,100%,47%,,,11,3,214,28,,,,,,,
"4 +1, 2",,53%,50%,48%,26%,48%,43%,49%,24%,39%,,,100%,43%,,,12,4,211,28,114,,,,,,
8 +2,,9%,2%,16%,6%,36%,21%,49%,24%,27%,,,100%,35%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,16%,3%,26%,24%,20%,,,87%,11%,,,14,6,202,,,,,,,,
B / T3,,10%,11%,13%,14%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,0%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,2%,2%,3%,3%,4%,0%,0%,0%,0%,,,0%,7%,,,18,2,183,,,,,,,,
OFF Pen,,8%,5%,6%,6%,8%,3%,6%,8%,7%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,5%,4%,3%,3%,2%,5%,3%,6%,4%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,0%,2%,3%,2%,3%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,8%,8%,18%,22%,8%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
