#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,1,2,F,6,30,PI 6,PI 12,74,33*,23,-11,R
11,2,5,5,2,6,OFF 5,INT 11,21,11*,18,22,R
12,OFF 10,7,F + 1,-3,3,OFF 10,17,DEF 5X,INT 14,13,27,R
13,6,7,3,4,8,6,15,43*,QT,27,10,R
14,-1,6,5,1,5,9,13,QT,14*,11*,13,R
15,8,OFF 5,5,DEF 5,3,DEF 5X,10*,QT,OFF 5,14,3*,R
16,9,F + 6,8,-2,15*,11,16,PI 50,DEF 5X,22,11,R
17,6,1,7,OFF 10,-7,10,DEF 5X,INT 23,21,32*,2,R
18,-3,OFF 15,OFF 10,8,DEF 15,DEF 15,PI 13,73,PI 7,17,20,R
19,OFF 15,9,B*,OFF 15,OFF 15,INT 5,OFF 15,49,OFF 15,16,32,R
20,4,3,OFF 15,F + 2,3,16,INT 16,DEF 15,6*,12,13*,R
21,6,-2,DEF 5,3,14,2,OFF 10,QT*,17,39,9,R
22,4,5,-3,OFF 5,F + 14,8,QT,OFF 10,14*,16,-13,R
23,DEF 5,,-1,9,24,9,11,OFF 5,7*,11,7,R
24,B,-3,,3,,,,,10,10,8,R
25,5,5,B*,,,,,,,13*,-7,R
26,7,5,-4*,6,11,1,14,60,,21,-10,R
27,5,5,8*,2,9,7,12,,,19,6*,R
28,F - 1,8,6*,7,OFF 5,INT 7,,,23,27,12,L
29,5,OFF 10,OFF 15,9,DEF 5,12,18*,INT 43,DEF 15,22,4,L
30,7,6,9,5,4*,5,15,,,20,F - 2,L
31,3,4,7,2,10,5,10,,18*,15,9,L
32,-2,B,2,7,6,3,12*,87,6,14,-10,L
33,,5,B,2,9,-2,10,,,23,9,L
34,4,3,8*,-1,,,,,,20,-3,L
35,5,4,4,B,QT,QT,QT,QT,,12,-6,L
36,OFF 5,B,6,B,OFF 10,6,QT,QT,QT,22,-5,L
37,B,DEF 5,6,3,13,8,11,20,OFF 10,16,F - 4,L
38,9,-1,OFF 5,5,-5,4*,OFF 5,72,15,49,-8,L
39,8,6,1*,F,52,4,19*,23,INT 7,20,-14,L
