#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,53,15,DEF 5,4,14,BK -8,
11,70,11,50*,33,56,45,
12,59,7,36,8,,30,NG
13,52,OFF 15,49,2,-1,F - 5,
14,54,23,42,,14,18,
15,63,13,41,,,16,
16,59,28,38,59,,28,NG
17,61,9,54,22,OFF 15,OFF 5,
18,51,14,BK -12,3,OFF 15,OFF 5,
19,58,13,OFF 15,2,11,OFF 10,
20,OB,27,50,12,,32,NG
21,60,6,48,,3,15,
22,57,OFF 15,43,3,6,OFF 10,
23,58,22,OFF 10,1,5,21,
24,71,16,34*,9,19,18,
25,60,21,33*,7,20,19,
26,52,10,40,1,,23,
27,60,5,21*,6,6,20,
28,59,25,OFF 5,16,,26,NG
29,55,12,BK -15,8,20,DEF 5,
30,56,38,DEF 5X,5,56,DEF 5X,NG
31,OB,20,37*,14,10,BK -7,
32,53,26,34*,10,30,12,
33,61,17,35*,,OFF 15,17,
34,54,18,32*,11,11,33,
35,50,19,37*,OFF 10,14,13,
36,58,24,30*,17,3,14,
37,53,F + 5,39,OFF 10,6,24,
38,57,OFF 15,45,F,32,22,
39,65,28,19*,-1,5,DEF 5,
