,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,1,,-2,,-4,,-7,,(3),special team,52,19,36,7,,DEF 5X,10,,1,1,1,1,,,
,,2,1,1,,(2),,(0),,,,,41,21,OFF 10,8,DEF 15,DEF 5,11,,1,1,1,1,,,
,,3,(2),(1),,(3),,,,,,,47,,36,10,OFF 15,29,12,,1,1,1,1,,,
,Standard,4,,(3),,,,,,INT 27,INT 11,,56,16,BK -13,12,,20,13,,1,1,1,1,,,
,,5,,,,,,,,,,,64,11,53,43,,32,14,,1,1,1,1,,,
,B,1,,(0),,,,,(19),,,,49,F + 12,56,21,,30,15,,1,1,1,1,,,
,,2,(1),,(2),(1),,,(17),,,,45,F + 24,60,19,39,28,16,,1,1,1,1,,,
,,3,(1),(1),(5),(1),(1),,,(24),,,64,OFF 15,40,6,59,OFF 10,17,,1,1,1,1,,,
,Short Ydg,4,(1),-1,,-1,,,,QT,,,66,32,49,9,,21,18,,1,1,1,1,,,
,,5,,,,,,,INT 13,,,,70,20,37,19,,24,19,,1,1,1,1,,,
,C,1,,,-2,(3),-8,,,,,,OB,14,41,15,,31,20,,1,1,1,1,,,
,,2,,,(1),(3),,(0),(8),,,,58,OFF 15,OFF 5,DEF 15,,OFF 5,21,,1,1,1,1,,,
,,3,(3),-1,(1),,,,,,-2,,61,49,DEF 5X,-1,26,27,22,,1,1,1,1,,,
,Spread,4,,,-2,4,,,,INT 21,-4,,65,26,43,,20,BK -7,23,,-4,1,1,1,,,
,,5,,,,,,,,(48),,,62,17,46,11,42,17,24,,1,1,1,1,,,
,D,1,1,,1,,,,,,,,68,36,33*,2,41,23,25,,1,1,1,1,,,
,,2,,(1),,,,(4),,,(2),,63,27,35*,-1,15,22,26,,1,1,1,1,,,
,,3,(5),,,(4),,,,,,,53,10,39,17,,33,27,,1,1,1,1,,,
,Short Pass,4,,,,(1),,,-10,,,,50,23,20*,8,-3,35,28,,1,1,1,1,,,
,,5,,,2,,,,,(39),,,46,15,50,F,,25,29,,1,1,1,1,,,
,E,1,,,1,,,,,INT 34,(7),,49,4,38,-1,34,19,30,,1,1,1,1,,,
,,2,,,,(5),,(2),(9),,-1,,55,31,34,19,24,26,31,,1,1,1,1,,,
,,3,(3),(2),2,(5),,,,,-4,,51,22,45,5,6,23,32,,1,1,1,1,,,
,Long Pass,4,,,,4,,,,QT,INT 11,,57,18,51,OFF 15,8,34,33,,1,1,1,1,,,
,,5,,,,,,INT 6,-10,,,,60,18,42*,4,55,13,34,,1,1,1,1,,,
,F,1,-2,,-1,-2,,(15),(14),QT,,,64,32,42,3,43,14,35,,1,1,1,1,,,
,,2,,3,-6,,(10),,QT,,,,54,19,32*,13,3,16,36,,1,1,1,1,,,
,,3,,(0),,1,6,,QT,,17,,59,21,44,1,OFF 15,18,37,,1,1,1,1,,,
,Blitz,4,,(1),(1),(1),,QT,,QT,,,48,24,DEF 5,16,OFF 15,25,38,,1,1,1,1,,,
,,5,,,(1),,,,INT 14,QT,QT,,46,29,37*,13,,F - 7,39,,1,1,1,-4,,,
,"Record: 7-9-0, Finished 3rd in AFC Central Division... L 21-10 vs Los Angeles Raiders; L 10-6 vs Buffalo Bills; L 17-7 at Cleveland Browns; W 23-17 at Tampa Bay Buccaneers; L 34-31 vs Baltimore Colts; L 24-14 vs Pittsburgh Steelers; L 24-17 at Denver Broncos; W 28-21 vs Cleveland Browns; W 34-14 vs Green Bay Packers; W 55-14 at Houston Oilers; L 20-15 at Kansas City Chiefs; W 38-10 vs Houston Oilers;  L 38-14 at Miami Dolphins;  W 23-10 at Pittsburgh Steelers; W 17-9 vs Detroit Lions; L 20-14 at Minnesota Vikings.  

",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,6%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,88%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,88%,,,,,,,,11,3
,,,,,,,,,,,,,"10+2,3,4",,,,,88%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,71%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,53%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,34%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,19%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,2%,,,,,,,,17,3
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2
,,,,,,,,,,,,,OFF,,,,,4%,,,,,,,,19,1
,,,,,,,,,,,,,DEF,,,,,2%,,,,,,,,20,4
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,12,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,13,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,14,,,,,,,,
