Defense,Sub,1,2,3,4,5,6,7,8,9
A-Standard,1,1,,-2,,-4,,-7,,(3)
A-Standard,2,1,1,,(2),,(0),,,
A-Standard,3,(2),(1),,(3),,,,
A-Standard,4,,(3),,,,,INT 27,INT 11
A-Standard,5,,,,,,,,,
B-ShortYdg,1,,(0),,,,(9),1,,
B-ShortYdg,2,(1),,(2),(1),,,(17),,
B-ShortYdg,3,(1),(1),(5),(1),(1),,,(24),
B-ShortYdg,4,(1),-1,,-1,,,,QT,
B-ShortYdg,5,,,,,,INT 13,,,
C-Spread,1,,,-2,(3),-8,,,,
C-Spread,2,,,(1),(3),,(0),(8),,
C-Spread,3,(3),-1,(1),,,,,,-2
C-Spread,4,,,-2,,4,,,INT 21,-4
C-Spread,5,,,,,,(48),,,
D-ShortPass,1,1,,1,,,,,,
D-ShortPass,2,,(1),,,,(4),,,(2)
D-ShortPass,3,(5),,,(4),,,,,
D-ShortPass,4,,,,(1),,,-10,,
D-ShortPass,5,,,,,2,,,(39),
E-LongPass,1,,,1,,,,INT 34,(7)
E-LongPass,2,,,,(5),,(2),(9),,-1
E-LongPass,3,(3),(2),2,(5),,,,, -4
E-LongPass,4,,,,4,,,,QT,INT 11
E-LongPass,5,,,,,,INT 6,-10,,
F-Blitz,1,-2,,-1,-2,,(15),(14),QT,
F-Blitz,2,,3,-6,,(10),,QT,,
F-Blitz,3,,(0),,1,6,,QT,,17
F-Blitz,4,,(1),(1),(1),,QT,,QT,
F-Blitz,5,,,,(1),,,INT 14,QT,QT
