#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,-1,B,5,OFF 10,16,7,OFF 15,PI 37,,15,10,R
11,4,3,1,1,22,5,17,39,,10,11,R
12,7,-3,9,2,9,DEF 5X,17,41,OFF 5,14,15,R
13,B,,OFF 5,3,14*,,OFF 5,OFF 5,,12,13,R
14,OFF 5,-2,DEF 5,,OFF 10,3,13*,26,,19,-1,R
15,8,OFF 5,5*,2,12,8,TD,24*,,29,3*,R
16,8,5,6,2,QT*,22,15,35,,13,14,R
17,4,5,5,5,OFF 5,1,19,36,DEF 5X,16,-6,R
18,B,OFF 10,-6,-3,21,26*,18,80,OFF 15,17,-13,R
19,DEF 15,DEF 15,DEF 15,DEF 15,14,PI 7,PI 11,PI 43,PI 13,13,F - 4,R
20,4,B,2,2,15,OFF 10,16,32*,INT 11,15,12,R
21,-1,4,B*,2,5,13,9,25,INT 4,29,-2,R
22,DEF 5,,F + 2,6,1,2,DEF 5X,F + 21,OFF 10,15,-9,R
23,4,DEF 5,-2*,4,11*,6,11,34,,11,7,R
24,,1,5,DEF 5,DEF 5,,,,14,12,-6,R
25,5,4,5,5,,,,,13,11,6,R
26,F - 2,-1,2,8,,F + 5,12,48,,11,-12,R
27,B,9,5*,F + 2,6,11*,18,27,,17,-4,R
28,9,B,-1*,2,INT -1,19,INT 16,22,48*,14,-7,R
29,OFF 10,4,5,6,23,35,DEF 15,OFF 15,37,19,-14,R
30,3,F - 4,3*,8,3,17,14,,8,29,F - 7,R
31,3,4,8,9,-1,,OFF 10,DEF 5X,10,16,-5,R
32,7,2,1,7,8,7,,,15,11,1,L
33,4,7,,-2,,,,16,10,-7,L
34,6,3,4,1,,,QT,QT,20,10,-11,L
35,2,5,7,5,,, ,QT,QT,10,-10,L
36,5,6,6,B,7,5,8,,12,12,4,L
37,3,4,B*,1,-3,QT,10,OFF 10,17*,13,8,L
38,1,8,3,OFF 5,2,15,F + 7,,27*,29,-8,L
39,5,B,2,2,26,OFF 5,19*,63,35,18,29,L
