#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,52,19,36,7,,DEF 5X,
11,41,21,OFF 10,8,DEF 15,DEF 5,
12,47,,36,10,OFF 15,29,
13,56,16,BK -13,12,,20,
14,64,11,53,43,,32,
15,49,F + 12,56,21,,30,
16,45,F + 24,60,19,39,28,
17,64,OFF 15,40,6,59,OFF 10,
18,66,32,49,9,,21,
19,70,20,37,19,,24,
20,OB,14,41,15,,31,
21,58,OFF 15,OFF 5,DEF 15,,OFF 5,
22,61,49,DEF 5X,-1,26,27,
23,65,26,43,,20,BK -7,
24,62,17,46,11,42,17,
25,68,36,33*,2,41,23,
26,63,27,35*,-1,15,22,
27,53,10,39,17,,33,
28,50,23,20*,8,-3,35,
29,46,15,50,F,,25,
30,49,4,38,-1,34,19,NG
31,55,31,34,19,24,26,NG
32,51,22,45,5,6,23,
33,57,18,51,OFF 15,8,34,
34,60,18,42*,4,55,13,
35,64,32,42,3,43,14,
36,54,19,32*,13,3,16,
37,59,21,44,1,OFF 15,18,
38,48,24,DEF 5,16,OFF 15,25,
39,46,29,37*,13,12,F - 7,NG
