,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,,,,,,
,A,1,,,,(4),-3,,-1,-13,6,special team,72,28,30*,OFF 15,,NG,10,,1,-4,1,1,,,,,,,,
,,2,,,,(3),-4,,-2,-14,11,,55,27,27*,18,-1,NG,11,,1,-4,1,1,,,,,,,,
,,3,,,,(2),-5,-1,-3,-15,,,63,41,31,13,3,17,12,,1,1,1,1,,,,,,,,
,Standard,4,-1,-1,-1,,-6,-2,-4,-20,,,66,11,53,OFF 15,TD,14,13,,1,1,1,1,,,,,,,,
,,5,-2,-2,-2,,-8,-5,-10,-20,-10,,64,18,DEF 5,,,27,14,,1,1,1,1,,,,,,,,
,B,1,(0),-4,-1,-5,-1,,12,,(10),,56,11,DEF 5X,24,,15,15,,1,1,1,1,,,,,,,,
,,2,-3,-4,-2,-4,,,,(15),18,,69,21,33,,,OFF 15,16,,1,1,1,1,,,,,,,,
,,3,-3,(0),-3,-3,,,(27),(15),,,52,29,26*,,,19,17,,1,1,1,1,,,,,,,,
,Short Ydg,4,-3,(0),-4,-1,-3,1,,(34),11,,75,24,32*,,,21,18,,1,1,1,1,,,,,,,,
,,5,-3,(0),-5,-1,-8,-5,-10,-6,10,,69,F + 41,OFF 10,1,OFF 15,31,19,,1,1,1,1,,,,,,,,
,C,1,,,(3),,(3),-3,13,-7,-4,,52,13,45,DEF 15,4,OFF 5,20,,1,1,1,1,,,,,,,,
,,2,,,(2),,(4),-4,5,-8,-5,,53,10,35,4,DEF 15,23,21,,1,1,1,1,,,,,,,,
,,3,,,(1),,(5),-5,8,-9,-6,,OB,OFF 15,OFF 5,OFF 15,OFF 15,DEF 5,22,,1,1,1,1,,,,,,,,
,Spread,4,1,2,,4,(6),-5,,,-7,,57,40,39,10,10,15,23,,1,1,1,1,,,,,,,,
,,5,,,,,(7),-5,-10,-20,-10,,70,16,38*,-1,19,22,24,,1,1,1,1,,,,,,,,
,D,1,1,2,3,2,,(6),-8,-10,(7),,51,22,40*,8,17,20,25,,1,1,1,1,,,,,,,,
,,2,(11),(10),(9),(12),,(5),-9,-11,(6),,62,F + 14,51,2,1,12,26,,1,1,1,1,,,,,,,,
,,3,1,2,3,2,,(4),,-12,(5),,59,60,44,5,,16,27,,1,1,1,1,,,,,,,,
