#,1,2,3,4,5,6,7,8,9
A,1,,,,(4),-3,,-1,-13,6
A,2,,,,(3),-4,,-2,-14,11
A,3,,,,(2),-5,-1,-3,-15,
A,4,-1,-1,-1,,-6,-2,-4,-20,
A,5,-2,-2,-2,,-8,-5,-10,-20,-10
B,1,(0),-4,-1,-5,-1,,12,,(10)
B,2,-3,-4,-2,-4,,,,(15),18
B,3,-3,(0),-3,-3,,,(27),(15),
B,4,-3,(0),-4,-1,-3,1,,(34),11
B,5,-3,(0),-5,-1,-8,-5,-10,-6,10
C,1,,,(3),,(3),-3,13,-7,-4
C,2,,,(2),,(4),-4,5,-8,-5
C,3,,,(1),,(5),-5,8,-9,-6
C,4,1,2,,4,(6),-5,BLACK,BLACK,-7
C,5,,,,,(7),-5,-10,-20,-10
D,1,1,2,3,2,,(6),-8,-10,(7)
D,2,(11),(10),(9),(12),,(5),-9,-11,(6)
D,3,1,2,3,2,,(4),BLACK,-12,(5)
D,4,1,2,3,(13),-3,(3),-10,BLACK,(4)
D,5,1,2,3,2,-5,BLACK,-10,-20,-10
E,1,,,,,(10),,-1,-20,
E,2,1,2,3,2,,,-1,BLACK,(15)
E,3,1,1,1,1,,(10),-1,BLACK,
E,4,,,,,,(10),-1,-20,
E,5,,,(5),,17,(31),-10,-20,-10
F,1,6,6,12,7,(25),,,,
F,2,-1,-1,-1,-1,,,,QT,-10
F,3,-2,-2,-2,-2,17,(20),,QT,
F,4,-3,-4,-8,-6,(28),,QT,INT 34,-10
F,5,-4,-5,-10,-5,[TD],(0),QT,INT 41,QT
