,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,W      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,-1,-1,,-1,,-1,-8,,,special team,64,8,DEF 5X,14,40,OFF 10,10,,1,1,1,1,,,
,,2,-1,,,(0),(0),-4,-6,,,,64,19,44,2,1,15,11,,1,1,1,1,,,
,,3,-1,-1,-1,(0),,-1,-2,,,,60,14,58,31,,DEF 15,12,,1,1,1,1,,,
,Standard,4,(1),,-1,,,,-10,,-10,,67,F + 21,60,70,DEF 15,OFF 5,13,,1,1,1,1,,,
,,5,,,,,,,,,,,62,12,33*,DEF 15,,DEF 5X,14,,1,1,1,1,,,
,B,1,-1,(1),-1,-1,,,,,,,65,18,48,F,,11,15,,1,1,1,1,,,
,,2,(1),-1,-1,-1,,(15),,(31),,,60,26,50,2,,26,16,,1,1,1,1,,,
,,3,(1),(1),-1,(0),,,,,,,55,16,49,3,1,8,17,,1,1,1,1,,,
,Short Ydg,4,(1),,,,7,,(26),,(28),,52,4,36,6,5,BK -7,18,,-4,1,1,1,,,
,,5,,(1),(1),,6,,,[TD],,,54,19,OFF 10,10,TD,23,19,,1,1,1,1,,,
,C,1,,,(3),,,-1,-1,,,,61,29,53*,12,,15,20,,1,1,1,1,,,
,,2,,-1,(2),,(1),-5,-4,,,,59,11,46,11,,10,21,,1,1,1,1,,,
,,3,,-1,(1),,(1),-2,,,,,71,15,30*,4,28,16,22,,1,1,1,1,,,
,Spread,4,(1),-1,-4,,,,,,-10,,69,23,54,15,15,24,23,,1,1,1,1,,,
,,5,(1),-1,-8,,,,,,,,60,20,42,OFF 15,,22,24,,1,1,1,1,,,
,D,1,,,,,(2),,,,-7,,74,22,40,7,16,20,25,,1,1,1,1,,,
,,2,,(5),,,,(2),,,,,72,OFF 15,41*,6,22,25,26,,1,1,1,1,,,
,,3,(4),,,6,(1),,,,,,67,13,35*,1,,28,27,,1,1,1,1,,,
,Short Pass,4,,,,,,,INT 13,,-10,,63,2,28*,17,,29,28,,1,1,1,1,,,
,,5,,,(3),,,,,,,,66,9,F - 14,4,26,25,29,,1,1,1,1,,,
,E,1,,,,6,,,,,,,56,DEF 15,45,-1,,19,30,,1,1,1,1,,,
,,2,,(6),,,,,,-20,,,72,25,DEF 5,9,23,31,31,,1,1,1,1,,,
,,3,,,,,,,-7,,,,73,33,55,,34,33,32,,1,1,1,1,,,
,Long Pass,4,,,,,16,,-10,INT 23,,,75,27,39,13,11,21,33,,1,1,1,1,,,
,,5,,(9),,2,17,,-9,INT 34,,,68,21,36*,20,48,27,34,,1,1,1,1,,,
,F,1,-3,-2,-1,4,17,(18),,,,,64,17,38,8,OFF 15,22,35,,1,1,1,1,,,
,,2,-1,-1,-2,-3,12,,QT,QT,QT,,70,23,37,5,36,32,36,,1,1,1,1,,,
,,3,-1,-1,11,-4,[TD],,,INT 36,,,OB,24,OFF 5,10,29,DEF 5,37,,1,1,1,1,,,
,Blitz,4,,,-8,-2,,QT,,,,,69,42,32*,5,,7,38,,1,1,1,1,,,
,,5,,(9),-10,-2,(-5),QT,INT 15,INT 40,,,72,32,43*,26,-4,30,39,,1,1,1,1,,,
,"Record: 9-7-0, Finished 2nd in AFC West Division... W 14-10 at Pittsburgh Steelers;  W 17-10 at Baltimore Colts; L 13-10 vs Philadelphia Eagles; L 22-7 vs Los Angeles Raiders;  L 31-14 at Chicago Bears; W 26-14 at Houston Oilers;  W 24-17 vs Cincinnati Bengals; W 14-6 vs San Diego Chargers; W 27-24 vs Kansas City Chiefs; L 27-19 at Seattle Seahawks; L 22-20 at Los Angeles Raiders; W 38-27 vs Seattle Seahawks; L 31-7 at San Diego Chargers; W 27-6 vs Cleveland Browns; W 21-19 vs Baltimore Colts; L 48-17 at Kansas City Chiefs;  Post Season...Wild Card Playoffs  Dec 24 L 31-7 at Seattle Seahawks.  

",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,1%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,87%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,87%,,,,,,,,11,3
,,,,,,,,,,,,,"10+2,3,4",,,,,83%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,77%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,68%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,36%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,17%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,0%,,,,,,,,17,3
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2
,,,,,,,,,,,,,OFF,,,,,3%,,,,,,,,19,1
,,,,,,,,,,,,,DEF,,,,,9%,,,,,,,,20,4
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6
