1983 Denver                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E   S/L,,,B,QT,#,Chart Designer: Dr. Thomas R. Nicely,,,,,,,,,,,
,10,DEF 5X,DEF 5X,B,DEF 5X,33,12,DEF 15,OFF 15,30*,,,13,7,10,,,,,,,,,,,,
,11,5,6,OFF 15,DEF 5,3,16,13*,33,27,,,10,19,11,,,,,,,,,,,,
,12,1,9,DEF 5,6,11*,QT,17,40,1,,Yardage factors: 100% / 80%,16,-14,12,,,,,,,,,,,,
,13,1,1, -2*,5,7,INT 9,10,21,20,,,35,-13,13,,,,,,,,,,,,
,14,OFF 5,5,2*,-1,10,1,INT 18,23,13,,,37,-7,14,,,,,,,,,,,,
,15,DEF 5,OFF 5,-1,5,23*,OFF 10,15,25,PI 17,,,10,-10,15,,,,,,,,,,,,
,16,1,1, -1*,1,OFF 10,2,11*,INT 33,OFF 10,,,16,-10,16,,,,,,,,,,,,
,17,8,7,B,6,DEF 5,13,18,44,35*,,,22,23,17,,,,,,,,,,,,
,18,DEF 15,5,B*,8,26,DEF 15,PI 14,38,DEF 15,,,11,14,18,,,,,,,,,,,,
,19,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,PI 9,PI 13,DEF 15,PI 12,,,12,8,19,,,,,,,,,,,,
,20,7,DEF 15,,1,-2,8,12,28,DEF 5X,,,28,F - 10,20,,,,,,,,,,,,
,21,F - 1,8,3,5,QT*,DEF 5X,14*,INT 24,OFF 5,,Power rating: 221 ± 2,13,-1,21,,,,,,,,,,,,
,22,B,1,OFF 5,-2,-4,F + 6,OFF 10,DEF 5X,14,,,12,-9,22,,,,,,,,,,,,
,23,,,4,2,-3,OFF 5,QT,QT,6*,,,17*,-10,23,,,,,,,,,,,,
,24,3,4,,3,-1,-1,QT,QT, -1*,,,11,-5,24,,,,,,,,,,,,
,25,6,4,4,1,,4,QT,OFF 5,QT,,,19,-4,25,,,,,,,,,,,,
,26,2,1,1,4,4,7,DEF 5X,OFF 10,12*,,,17,-8,26,Fumble Recovered 10-26; Lost Ball 27-39,,,,,,,,,,,
,27,6,F,5,5,5,10,,QT,19,,,18,2,27,,,,,,,,,,,,
,28,6,-2,*,DEF 15,1,18,,32*,17,,,15,11,28,,,,,,,,,,,,
,29,-1,B,-11,9,15,OFF 15,,34,11*,,,13,4,29,,,,,,,,,,,,
,30,6,B,F,OFF 5,17,,,, -2*,,,25,,30,,,,,,,,,,,,
,31,9,6,-3,3,F + 1,,OFF 5,,,,,24,12,31,,,,,,,,,,,,
,32,,DEF 5,5,2,OFF 5,,16,,,,,26,6*,32,,,,,,,,,,,,
,33,4,-1,7*,B,13,,13,,,,,16,5,33,,,,,,,,,,,,
,34,3,5,6,,,,21,,7,,,10,-10,34,,,,,,,,,,,,
,35,5,3,8,,,6,20,,14*,,,12,-6,35,,,,,,,,,,,,
,36,4,4,9,1,,5,,,10*,,,14,F - 12,36,,,,,,,,,,,,
,37,5,3,5*,4,,,,,15*,,,15,-3,37,,,,,,,,,,,,
,38,2,1,DEF 5X,F - 2,25,11,F + 8,TD,INT 13,,,52,-11,38,,,,,,,,,,,,
,39,-2,2,DEF 15,7,DEF 5X,19,19,PI 28,3*,,,23,-2,39,,,,,,,,,,,,
,"The Broncos would give John Elway the starting job at Quarterback right away; as he showed flashes of his ability to make a comeback leading the Broncos to 4th Quarter win Baltimore against the Colts to get the team off to a 2-0 start. However, Elway would struggle with turnovers and would be benched in favor of veteran Steve DeBerg. However, by the end of the season Elway was back under center, and would get the Broncos into the playoffs with a 9-7 record. In the season next to last game Elway would bite the Colts again leading three Touchdown drives in the 4th Quarter to beat the Colts 21-19, after entering the final period down 19-0. In the Wild Card game in Seattle Elway would struggle mightily before being replaced in a disappointing 31-7 loss to the Seahawks.
",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,13%,13%,21%,23%,48%,38%,18%,46%,25%,,,0%,65%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,56,10,2,216,27-39,,,,,,,
"1 +1, 2",,73%,69%,61%,60%,35%,42%,47%,18%,56%,,,100%,27%,,,11,3,214,27,,,,,,,
"4 +1, 2",,47%,40%,52%,25%,31%,38%,47%,18%,53%,,,100%,25%,,,12,4,211,27,120,,,,,,
8 +2,,6%,5%,14%,2%,23%,14%,47%,18%,40%,,,100%,10%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,18%,7%,43%,18%,33%,,,81%,8%,,,14,6,202,,,,,,,,
B / T3,,4%,4%,3%,7%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,3%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,3%,3%,3%,3%,4%,4%,3%,0%,0%,,,0%,7%,,,18,2,183,,,,,,,,
OFF Pen,,3%,3%,5%,3%,7%,8%,8%,10%,5%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,5%,9%,6%,5%,3%,4%,6%,6%,6%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,0%,2%,3%,5%,3%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,3%,2%,16%,13%,6%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,DEF 5X,DEF 5X,B,DEF 5X,33,12,DEF 15,OFF 15,30,0,0,13,7,,,32,12,93,,,,,,,,
,,5,6,OFF 15,DEF 5,3,16,13,33,27,0,0,10,19,,,33,15,81,,,,,,,,
,,1,9,DEF 5,6,11,QT,17,40,1,0,Yardage factors: 100% / 80%,16,-14,,,34,18,66,,,,,,,,
,,1,1,-2,5,7,INT 9,10,21,20,0,0,35,-13,,,35,18,48,,,,,,,,
,,OFF 5,5,2,-1,10,1,INT 18,23,13,0,0,37,-7,,,36,12,30,,,,,,,,
,,DEF 5,OFF 5,-1,5,23,OFF 10,15,25,PI 17,0,0,10,-10,,,37,9,18,,,,,,,,
,,1,1,-1,1,OFF 10,2,11,INT 33,OFF 10,0,0,16,-10,,,38,6,9,,,,,,,,
,,8,7,B,6,DEF 5,13,18,44,35,0,0,22,23,,,39,3,3,,,,,,,,
,,DEF 15,5,B,8,26,DEF 15,PI 14,38,DEF 15,0,0,11,14,,,,,,,,,,,,,
,,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,PI 9,PI 13,DEF 15,PI 12,0,0,12,8,,,,,,,,,,,,,
,,7,DEF 15,0,1,-2,8,12,28,DEF 5X,0,0,28,F - 10,,,,,,,,,,,,,
,,F - 1,8,3,5,QT,DEF 5X,14,INT 24,OFF 5,0,Power rating: 221 ± 2,13,-1,,,,,,,,,,,,,
,,B,1,OFF 5,-2,-4,F + 6,OFF 10,DEF 5X,14,0,0,12,-9,,,,,,,,,,,,,
,,0,0,4,2,-3,OFF 5,QT,QT,6,0,0,17,-10,,,,,,,,,,,,,
,,3,4,0,3,-1,-1,QT,QT,-1,0,0,11,-5,,,,,,,,,,,,,
,,6,4,4,1,0,4,QT,OFF 5,QT,0,0,19,-4,,,,,,,,,,,,,
,,2,1,1,4,4,7,DEF 5X,OFF 10,12,0,0,17,-8,,,,,,,,,,,,,
,,6,F,5,5,5,10,0,QT,19,0,0,18,2,,,,,,,,,,,,,
,,6,-2,0,DEF 15,1,18,0,32,17,0,0,15,11,,,,,,,,,,,,,
,,-1,B,-11,9,15,OFF 15,0,34,11,0,0,13,4,,,,,,,,,,,,,
,,6,B,F,OFF 5,17,0,0,0,-2,0,0,25,0,,,,,,,,,,,,,
,,9,6,-3,3,F + 1,0,OFF 5,0,0,0,0,24,12,,,,,,,,,,,,,
,,0,DEF 5,5,2,OFF 5,0,16,0,0,0,0,26,6,,,,,,,,,,,,,
,,4,-1,7,B,13,0,13,0,0,0,0,16,5,,,,,,,,,,,,,
,,3,5,6,0,0,0,21,0,7,0,0,10,-10,,,,,,,,,,,,,
,,5,3,8,0,0,6,20,0,14,0,0,12,-6,,,,,,,,,,,,,
,,4,4,9,1,0,5,0,0,10,0,0,14,F - 12,,,,,,,,,,,,,
,,5,3,5,4,0,0,0,0,15,0,0,15,-3,,,,,,,,,,,,,
,,2,1,DEF 5X,F - 2,25,11,F + 8,TD,INT 13,0,0,52,-11,,,,,,,,,,,,,
,,-2,2,DEF 15,7,DEF 5X,19,19,PI 28,3,0,0,23,-2,,,,,,,,,,,,,
