#,1,2,3,4,5,6,7,8,9
A,1,-1,-1,,-1,,-1,-8,,
A,2,-1,,,(0),(0),-4,-6,,
A,3,-1,-1,-1,(0),,-1,-2,BLACK,
A,4,(1),,-1,,,,-10,BLACK,-10
A,5,,,,,,,BLACK,,BLACK
B,1,-1,(1),-1,-1,,,,,
B,2,(1),-1,-1,-1,,(15),,(31),
B,3,(1),(1),-1,(0),,,,,
B,4,(1),,,,7,,(26),,(28)
B,5,,(1),(1),,6,,,[TD],
C,1,,,(3),,,-1,-1,,BLACK
C,2,,-1,(2),,(1),-5,-4,,BLACK
C,3,,-1,(1),,(1),-2,,BLACK,
C,4,(1),-1,-4,,,,,,-10
C,5,(1),-1,-8,,,,BLACK,,
D,1,,,,,(2),,,,-7
D,2,,(5),,,,(2),,,
D,3,(4),,,6,(1),,BLACK,BLACK,
D,4,,,,,,,INT 13,BLACK,-10
D,5,,,(3),,,BLACK,,BLACK,
E,1,,,,6,,,,BLACK,
E,2,,(6),,,,,,-20,
E,3,,,,,,,-7,,
E,4,,,,,16,,-10,INT 23,
E,5,,(9),,2,17,,-9,INT 34,
F,1,-3,-2,-1,4,17,(18),,,
F,2,-1,-1,-2,-3,12,,QT,QT,QT
F,3,-1,-1,11,-4,[TD],,,INT 36,
F,4,,,-8,-2,,QT,,,
F,5,,(9),-10,-2,(-5),QT,INT 15,INT 40,
