#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 5X,DEF 5X,B,DEF 5X,33,12,DEF 15,OFF 15,30*,13,7,R
11,5,6,OFF 15,DEF 5,3,16,13*,33,27,10,19,R
12,1,9,DEF 5,6,11*,QT,17,40,1,16,-14,R
13,1,1,-2*,5,7,INT 9,10,21,20,35,-13,R
14,OFF 5,5,2*,-1,10,1,INT 18,23,13,37,-7,R
15,DEF 5,OFF 5,-1,5,23*,OFF 10,15,25,PI 17,10,-10,R
16,1,1,-1*,1,OFF 10,2,11*,INT 33,OFF 10,16,-10,R
17,8,7,B,6,DEF 5,13,18,44,35*,22,23,R
18,DEF 15,5,B*,8,26,DEF 15,PI 14,38,DEF 15,11,14,R
19,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,PI 9,PI 13,DEF 15,PI 12,12,8,R
20,7,DEF 15,,1,-2,8,12,28,DEF 5X,28,F - 10,R
21,F - 1,8,3,5,QT*,DEF 5X,14*,INT 24,OFF 5,13,-1,R
22,B,1,OFF 5,-2,-4,F + 6,OFF 10,DEF 5X,14,12,-9,R
23,,,4,2,-3,OFF 5,QT,QT,6*,17*,-10,R
24,3,4,,3,-1,-1,QT,QT,-1*,11,-5,R
25,6,4,4,1,BLACK,4,QT,OFF 5,QT,19,-4,R
26,2,1,1,4,4,7,DEF 5X,OFF 10,12*,17,-8,R
27,6,F,5,5,5,10,BLACK,QT,19,18,2,L
28,6,-2,*,DEF 15,1,18,BLACK,32*,17,15,11,L
29,-1,B,-11,9,15,OFF 15,BLACK,34,11*,13,4,L
30,6,B,F,OFF 5,17,BLACK,BLACK,BLACK,-2*,25,,L
31,9,6,-3,3,F + 1,BLACK,OFF 5,BLACK,BLACK,24,12,L
32,,DEF 5,5,2,OFF 5,BLACK,16,BLACK,BLACK,26,6*,L
33,4,-1,7*,B,13,BLACK,13,BLACK,BLACK,16,5,L
34,3,5,6,,BLACK,BLACK,21,BLACK,7,10,-10,L
35,5,3,8,,BLACK,6,20,BLACK,14*,12,-6,L
36,4,4,9,1,BLACK,5,BLACK,BLACK,10*,14,F - 12,L
37,5,3,5*,4,BLACK,BLACK,BLACK,BLACK,15*,15,-3,L
38,2,1,DEF 5X,F - 2,25,11,F + 8,TD,INT 13,52,-11,L
39,-2,2,DEF 15,7,DEF 5X,19,19,PI 28,3*,23,-2,L
