#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,64,8,DEF 5X,14,40,OFF 10,
11,64,19,44,2,1,15,
12,60,14,58,31,,DEF 15,
13,67,F + 21,60,70,DEF 15,OFF 5,
14,62,12,33*,DEF 15,,DEF 5X,
15,65,18,48,F,,11,
16,60,26,50,2,,26,
17,55,16,49,3,1,8,
18,52,4,36,6,5,BK -7,
19,54,19,OFF 10,10,TD,23,
20,61,29,53*,12,,15,
21,59,11,46,11,,10,
22,71,15,30*,4,28,16,
23,69,23,54,15,15,24,
24,60,20,42,OFF 15,,22,
25,74,22,40,7,16,20,
26,72,OFF 15,41*,6,22,25,
27,67,13,35*,1,,28,
28,63,2,28*,17,,29,
29,66,9,F - 14,4,26,25,
30,56,DEF 15,45,-1,,19,
31,72,25,DEF 5,9,23,31,
32,73,33,55,,34,33,
33,75,27,39,13,11,21,
34,68,21,36*,20,48,27,
35,64,17,38,8,OFF 15,22,
36,70,23,37,5,36,32,
37,OB,24,OFF 5,10,29,DEF 5,
38,69,42,32*,5,,7,NG
39,72,32,43*,26,-4,30,
