,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,      ,#,1,2,3,4,5,6,7,8,9,,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#,,Blocked,Wide,Short,Fumble,,,
,A,1,,,,(3),,,,,,special team,69,17,49,OFF 15,3,31,10,,1,1,1,1,,,
,,2,,,,(1),,(0),,-15,,,OB,33,26*,13,35,23,11,,1,1,1,1,,,
,,3,1,(7),(6),(3),,,-7,-11,,,61,28,23*,15,,DEF 5X,12,,1,1,1,1,,,
,Standard,4,,,,,,,-10,-20,-10,,64,F + 23,20*,19,13,29,13,,1,1,1,1,,,
,,5,,,,,-1,,,(24),,,52,3,35,13,8,40,14,,1,1,1,1,,,
,B,1,(1),,,-4,,,,[TD],,,64,8,46,,7,41,15,,1,1,1,1,,,
,,2,(1),(0),(1),-4,,,,,,,64,30,60,14,OFF 15,28,16,,1,1,1,1,,,
,,3,,(0),,-4,,,,,,,64,9,45,F,,19,17,,1,1,1,1,,,
,Short Ydg,4,,,,,INT -5,-5,-10,-20,-10,,53,11,47,7,OFF 15,16,18,,1,1,1,1,,,
,,5,,,,,24,(11),(16),(21),(34),,55,13,35*,,22,32,19,,1,1,1,1,,,
,C,1,,,,,(-3),,-6,,,,64,29,55,F,14,OFF 10,20,,1,1,1,1,,,
,,2,,,(0),,-8,,,,,,75,4,57,11,3,F - 7,21,,1,1,1,-4,,,
,,3,(1),(0),(0),(10),,,,-11,,,57,38,51,19,18,DEF 5,22,,1,1,1,1,,,
,Spread,4,,,,,,5,-10,-20,-10,,60,24,39,12,22,24,23,,1,1,1,1,,,
,,5,,,,,,,,-20,,,66,19,44,6,24,17,24,,1,1,1,1,,,
,D,1,,,,,,,,,,,68,22,32*,5,28,15,25,,1,1,1,1,,,
,,2,,,,,,(0),-7,-9,-8,,70,25,43,OFF 15,5,30,26,,1,1,1,1,,,
,,3,(1),,(0),(10),,,,-20,,,58,34,41,4,15,22,27,,1,1,1,1,,,
,Short Pass,4,,,,,,-5,-10,-20,-10,,64,27,53,15,1,OFF 5,28,,1,1,1,1,,,
,,5,,,,,,,,(22),,,OB,OFF 15,48,,14,19,29,,1,1,1,1,,,
,E,1,,,,,,,(6),-16,(5),,64,17,DEF 5,3,35,16,30,,1,1,1,1,,,
,,2,,,,,1,(8),,,,,50,24,OFF 5,9,21,33,31,,1,1,1,1,,,
,,3,(4),(6),,(4),1,,,,,,65,20,36*,8,OFF 15,18,32,,1,1,1,1,,,
,Long Pass,4,,,(3),,2,-5,-10,INT 27,-10,,62,13,38*,2,13,20,33,,1,1,1,1,,,
,,5,,,,,2,,,20,,,56,23,37*,1,,25,34,,1,1,1,1,,,
,F,1,,,(8),1,[TD],,,QT,,,59,19,39*,9,,25,35,,1,1,1,1,,,
,,2,(4),(-1),-5,(8),,,QT,,QT,,69,22,40,7,65,21,36,,1,1,1,1,,,
,,3,(1),,1,12,,-5,,,,,51,OFF 15,50,10,15,26,37,,1,1,1,1,,,
,Blitz,4,,,,,-10,INT 12,INT 14,INT 29,INT 9,,64,14,DEF 5X,1,3,27,38,,1,1,1,1,,,
,,5,,,,,[TD],(10),,(10),(10),,63,15,OFF 15,13,18,BK -4,39,,-4,1,1,1,,,
,"Record: 9-7-0, Finished 2nd in AFC Central Division... Sep 4 L 27-21 vs Minnesota Vikings; W 31-26 at Detroit Lions; W 17-7 vs Cincinnati Bengals; W 30-24 at San Diego Chargers (OT); L 24-9 vs Seattle Seahawks; W 10-7 vs New York Jets; L 44-17 at Pittsburgh Steelers; L 28-21 at Cincinnati Bengals;   W 25-19 vs Houston Oilers (OT); L 35-21 at Green Bay Packers at Milwaukee, W I; W 20-0 vs Tampa Bay Buccaneers; W 30-0 at New England Patriots; W 41-23 vs Baltimore Colts; L 27-6 at Denver Broncos; L 34-27 at Houston Oilers; W 30-17 vs Pittsburgh Steelers.

",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,4%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,87%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,87%,,,,,,,,11,3
,,,,,,,,,,,,,"10+2,3,4",,,,,87%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,87%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,64%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,43%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,15%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,6%,,,,,,,,17,3
,,,,,,,,,,,,,40+4,,,,,6%,,,,,,,,18,2
,,,,,,,,,,,,,OFF,,,,,4%,,,,,,,,19,1
,,,,,,,,,,,,,DEF,,,,,6%,,,,,,,,20,4
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18
